k,t,angle,bias,p00,p01,p10,p11,sym_resid,det,lambda_min,k0,k1,true_angle,true_bias
0,0.000000,0.3296311311,-0.0004051495343,9.99905169e-05,-1.24797225e-07,-1.275911927e-07,0.2499984819,2.79397e-09,2.49975e-05,9.99905e-05,0.9999000104,-0.001249864697,0.3321631364,0.02976457986
1,0.005000,0.3409526274,-0.07209435664,5.15235588e-05,-0.000606007874,-0.0006060088053,0.2424226925,9.31323e-10,1.21232e-05,5.00083e-05,0.5152393468,-6.060099587,0.337143824,0.02952618409
2,0.010000,0.3457908258,-0.06757385191,3.89078632e-05,-0.001110719517,-0.001110720448,0.2222284619,9.31323e-10,7.41274e-06,3.33555e-05,0.3890839163,-11.10722068,0.3419201442,0.02939892084
3,0.015000,0.3463863544,0.1126507064,3.57395038e-05,-0.001427786425,-0.001427786425,0.1905050064,0,4.76998e-06,2.50372e-05,0.3573920801,-14.27789049,0.3464834012,0.02946617007
4,0.020000,0.3534964994,-0.03381466027,3.541074693e-05,-0.001537428237,-0.001537428237,0.1539094141,0,3.08636e-06,2.00511e-05,0.3541063881,-15.37430598,0.3508253296,0.02910480998
5,0.025000,0.3574238494,0.0001333812252,3.534927964e-05,-0.001491478644,-0.001491478644,0.1195013644,0,1.99978e-06,1.67318e-05,0.3534919284,-14.91480766,0.3549381213,0.0290632507
6,0.030000,0.3629876412,-0.05876372196,3.476627171e-05,-0.001362713985,-0.001362713985,0.09103446454,0,1.30794e-06,1.43643e-05,0.347667072,-13.62716281,0.3588144492,0.02926203634
7,0.035000,0.3659500293,-0.01036943588,3.364961594e-05,-0.001206180081,-0.001206180081,0.06910747755,0,8.7057e-07,1.25935e-05,0.3364930665,-12.0618249,0.3624474918,0.02941719656
8,0.040000,0.3702566624,-0.05361716356,3.21958214e-05,-0.001052122563,-0.001052122563,0.052781526,0,5.92383e-07,1.12188e-05,0.3219626164,-10.52124274,0.3658309542,0.02912657958
9,0.045000,0.3717932031,0.0110034002,3.05948779e-05,-0.0009133936837,-0.0009133936837,0.04076101258,0,4.1279e-07,1.0122e-05,0.3059480563,-9.133950844,0.3689590897,0.02928252321
10,0.050000,0.3772335052,-0.05306784157,2.89734453e-05,-0.0007935045287,-0.0007935045287,0.03189601563,0,2.94488e-07,9.22704e-06,0.2897370597,-7.935062021,0.3718267185,0.02929197429
11,0.055000,0.3775825687,0.0120438626,2.740509808e-05,-0.000691819936,-0.000691819936,0.02530311327,0,2.14819e-07,8.4835e-06,0.2740487326,-6.918212667,0.3744292454,0.02951162413
12,0.060000,0.3725173883,0.1772144707,2.592615783e-05,-0.0006061736494,-0.0006061736494,0.02034261264,0,1.59959e-07,7.85628e-06,0.2592597706,-6.061750203,0.376762676,0.02947900197
13,0.065000,0.3789926618,0.0600190172,2.455152571e-05,-0.0005340911448,-0.0005340911448,0.01656188723,0,1.21366e-07,7.32043e-06,0.245513442,-5.340922192,0.3788236308,0.02962770445
14,0.070000,0.3766948134,0.1391552333,2.328399569e-05,-0.0004732618108,-0.0004732618108,0.01364237443,0,9.36722e-08,6.85801e-06,0.2328401078,-4.732622191,0.380609358,0.0295147845
15,0.075000,0.3763410375,0.1643528594,2.211984247e-05,-0.0004217000678,-0.0004217000678,0.01135902014,0,7.34288e-08,6.45546e-06,0.2211995274,-4.217007205,0.3821177444,0.02956466879
16,0.080000,0.3738769405,0.2173740054,2.105161548e-05,-0.0003777621314,-0.0003777621314,0.009551489726,0,5.83701e-08,6.10154e-06,0.2105201241,-3.777627453,0.3833473249,0.02979048033
17,0.085000,0.3767658807,0.1657842435,2.007186413e-05,-0.0003401106223,-0.0003401106223,0.008104297332,0,4.69931e-08,5.78834e-06,0.2007175926,-3.401107654,0.384297289,0.02983410222
18,0.090000,0.3776289038,0.1491455818,1.917313784e-05,-0.0003076540306,-0.0003076540306,0.006933308206,0,3.82823e-08,5.51064e-06,0.1917286441,-3.076548427,0.3849674875,0.02998646313
19,0.095000,0.3762296252,0.1678135963,1.83461234e-05,-0.0002795178443,-0.0002795178443,0.005976503715,0,3.15154e-08,5.26171e-06,0.1834614715,-2.795184761,0.3853584351,0.03000000344
20,0.100000,0.3767362796,0.1486777682,1.758430153e-05,-0.0002549951896,-0.0002549951896,0.005187591538,0,2.61976e-08,5.03787e-06,0.1758402865,-2.549956635,0.385471313,0.03000174725
21,0.105000,0.3793360703,0.09817627631,1.688022166e-05,-0.0002335114405,-0.0002335114405,0.004531624727,0,2.19672e-08,4.83469e-06,0.1688032206,-2.335113794,0.3853079687,0.03037491119
22,0.110000,0.3792616762,0.08853231184,1.622922719e-05,-0.0002145953476,-0.0002145953476,0.003981940448,0,1.85727e-08,4.6507e-06,0.162292473,-2.145955563,0.3848709138,0.03051259596
23,0.115000,0.3778583258,0.09259474091,1.562573016e-05,-0.0001978622749,-0.0001978622749,0.003517987207,0,1.58216e-08,4.48316e-06,0.1562561393,-1.978626266,0.3841633207,0.0306664229
24,0.120000,0.3771664016,0.08248144295,1.506507397e-05,-0.0001829946414,-0.0001829946414,0.003123765811,0,1.35727e-08,4.33011e-06,0.1506498232,-1.829946443,0.3831890168,0.0309238227
25,0.125000,0.3760564551,0.07855254784,1.4542602e-05,-0.0001697307453,-0.0001697307453,0.002786701545,0,1.17174e-08,4.18918e-06,0.1454244461,-1.697308317,0.381952477,0.0306037389
26,0.130000,0.3717404902,0.1085293181,1.40555203e-05,-0.0001578498632,-0.0001578498632,0.002496832982,0,1.01777e-08,4.05999e-06,0.140554213,-1.57849744,0.3804588148,0.03073747035
27,0.135000,0.3677433357,0.1245901538,1.360010356e-05,-0.0001471694559,-0.0001471694559,0.002246197313,0,8.88967e-09,3.94071e-06,0.1359967813,-1.47169584,0.3787137707,0.03107144031
28,0.140000,0.3661101237,0.1149174813,1.317355782e-05,-0.0001375330612,-0.0001375330612,0.002028387971,0,7.80574e-09,3.83061e-06,0.131734929,-1.375336587,0.3767237,0.03109048574
29,0.145000,0.3636532426,0.1141868243,1.277308911e-05,-0.0001288121566,-0.0001288121566,0.001838209108,0,6.88704e-09,3.72826e-06,0.127735625,-1.288120031,0.3744955577,0.03084063255
30,0.150000,0.3628906086,0.09172829613,1.239776611e-05,-0.0001208940521,-0.0001208940521,0.001671415754,0,6.10645e-09,3.6344e-06,0.1239781352,-1.208941832,0.3720368825,0.03079601978
31,0.155000,0.360450089,0.08445297834,1.204386353e-05,-0.0001136837527,-0.0001136837527,0.001524522901,0,5.43715e-09,3.54669e-06,0.1204403779,-1.136839867,0.3693557792,0.03094052993
32,0.160000,0.3599864431,0.05555604119,1.170951873e-05,-0.0001071020961,-0.0001071020961,0.001394646242,0,4.85978e-09,3.46411e-06,0.1170990421,-1.071019202,0.3664608987,0.03073216152
33,0.165000,0.3555227779,0.06140304916,1.13947317e-05,-0.000101076439,-0.000101076439,0.001279387623,0,4.36183e-09,3.38811e-06,0.1139443154,-1.01076892,0.3633614171,0.03110606862
34,0.170000,0.3509667143,0.0700136628,1.10976398e-05,-9.55471769e-05,-9.55471769e-05,0.001176744699,0,3.92983e-09,3.31764e-06,0.110973116,-0.9554716498,0.3600670134,0.03103148717
35,0.175000,0.3457735144,0.08419391606,1.081638038e-05,-9.046029299e-05,-9.046029299e-05,0.00108503364,0,3.55307e-09,3.25195e-06,0.1081597395,-0.9046064615,0.3565878454,0.0306703299
36,0.180000,0.3403276615,0.09694442898,1.05490908e-05,-8.577015251e-05,-8.577015251e-05,0.001002836972,0,3.2225e-09,3.18997e-06,0.1054924736,-0.8577022105,0.3529345242,0.03045200954
37,0.185000,0.3367950767,0.09486419987,1.029483974e-05,-8.143857121e-05,-8.143857121e-05,0.0009289477021,0,2.93113e-09,3.13117e-06,0.1029441254,-0.8143881112,0.3491180878,0.03033128126
38,0.190000,0.3339685351,0.08082862664,1.005362719e-05,-7.742922753e-05,-7.742922753e-05,0.0008623385802,0,2.67435e-09,3.07638e-06,0.1005319376,-0.7742910981,0.3451499732,0.03028376906
39,0.195000,0.3326074742,0.05785138067,9.82452184e-06,-7.371045649e-05,-7.371045649e-05,0.0008021313697,0,2.44733e-09,3.02538e-06,0.09824308008,-0.7371086329,0.3410419872,0.03014189096
40,0.200000,0.3307667822,0.03901449125,9.605661035e-06,-7.025524974e-05,-7.025524974e-05,0.000747573562,0,2.24514e-09,2.97684e-06,0.09605670813,-0.7025525272,0.3368062767,0.03003491185
41,0.205000,0.3274750672,0.02856477723,9.397044778e-06,-6.704032421e-05,-6.704032421e-05,0.0006980122998,0,2.06485e-09,2.93103e-06,0.09396675415,-0.6704075634,0.3324552974,0.03019201326
42,0.210000,0.3242932893,0.02185561322,9.198673069e-06,-6.404239684e-05,-6.404239684e-05,0.0006528878585,0,1.90427e-09,2.88877e-06,0.09198230878,-0.6404258758,0.3280017819,0.02985258855
43,0.215000,0.3220967464,0.00598518271,9.007751942e-06,-6.124377251e-05,-6.124377251e-05,0.0006117112935,0,1.75934e-09,2.84743e-06,0.09008169174,-0.6124368608,0.323458707,0.02969880167
44,0.220000,0.3195563592,-0.00883479882,8.82614404e-06,-5.862675607e-05,-5.862675607e-05,0.0005740569904,0,1.62961e-09,2.80932e-06,0.08825827017,-0.5862713158,0.3188392603,0.02988873033
45,0.225000,0.3155619726,-0.01445085462,8.651986718e-06,-5.617644638e-05,-5.617644638e-05,0.0005395552143,0,1.51243e-09,2.77289e-06,0.08652079199,-0.5617641062,0.314156806,0.03021509439
46,0.230000,0.3110796101,-0.01656379923,8.485279977e-06,-5.387887359e-05,-5.387887359e-05,0.0005078790709,0,1.40656e-09,2.7385e-06,0.08485468291,-0.5387880355,0.3094248505,0.0303474382
47,0.235000,0.3064857386,-0.01508610602,8.325092494e-06,-5.17219305e-05,-5.17219305e-05,0.0004787435755,0,1.31043e-09,2.70546e-06,0.08325293474,-0.5172166526,0.3046570068,0.03045246062
48,0.240000,0.3037583455,-0.02403365914,8.172355592e-06,-4.969257861e-05,-4.969257861e-05,0.0004518963397,0,1.22371e-09,2.67539e-06,0.0817241082,-0.4969297796,0.2998669599,0.03040456577
49,0.245000,0.2981875762,-0.01919982396,8.025206625e-06,-4.778243601e-05,-4.778243601e-05,0.0004271166399,0,1.14454e-09,2.64636e-06,0.08025320619,-0.4778273702,0.2950684306,0.03023934616
50,0.250000,0.2921356075,-0.01090488769,7.883645594e-06,-4.598218948e-05,-4.598218948e-05,0.0004042079672,0,1.07227e-09,2.61866e-06,0.07884080894,-0.4598246515,0.2902751402,0.03009443326
51,0.255000,0.2875491492,-0.01173938345,7.747672498e-06,-4.42834571e-05,-4.42834571e-05,0.0003829952329,0,1.0063e-09,2.59254e-06,0.07747955155,-0.4428397119,0.2855007742,0.03002941564
52,0.260000,0.2847290337,-0.01976994891,7.617287338e-06,-4.267971963e-05,-4.267971963e-05,0.0003633229062,0,9.45977e-10,2.56799e-06,0.07616990898,-0.4267941117,0.2807589468,0.03004685916
53,0.265000,0.2803540528,-0.02071089204,7.49155879e-06,-4.116352648e-05,-4.116352648e-05,0.0003450512886,0,8.90536e-10,2.5444e-06,0.07491233665,-0.4116344601,0.2760631658,0.03001829738
54,0.270000,0.2753749266,-0.01786529087,7.369555533e-06,-3.972742707e-05,-3.972742707e-05,0.0003280574456,0,8.39369e-10,2.52134e-06,0.07369928528,-0.3972756416,0.2714267963,0.02977294108
55,0.275000,0.270316232,-0.01554531977,7.252208889e-06,-3.836769611e-05,-3.836769611e-05,0.0003122305498,0,7.92281e-10,2.49944e-06,0.07252310589,-0.3836745322,0.2668630268,0.02985961526
