k,t,angle,bias,p00,p01,p10,p11,sym_resid,det,lambda_min,k0,k1,true_angle,true_bias
0,0.000000,0.3501977548,-0.0004313886166,9.999424219e-05,-1.266598701e-07,-1.266598701e-07,0.2499984801,0,2.49984e-05,9.99942e-05,0.9999000058,-0.001249864697,0.3321631364,0.02976457986
1,0.005000,0.3397049531,0.1831755415,5.152821541e-05,-0.000606007874,-0.000606007874,0.2424228564,0,1.21244e-05,5.0013e-05,0.5152412578,-6.059953772,0.337143824,0.02952618409
2,0.010000,0.349339366,0.02004012465,3.891438246e-05,-0.001110680401,-0.001110680401,0.2222296894,0,7.41432e-06,3.33625e-05,0.389103815,-11.10664057,0.3419201442,0.02939892084
3,0.015000,0.3513730764,0.1180568039,3.574043512e-05,-0.001427747309,-0.001427747309,0.1905080974,0,4.77038e-06,2.50389e-05,0.357399337,-14.27725379,0.3464834012,0.02946617007
4,0.020000,0.3511833549,0.2821546048,3.541260958e-05,-0.001537449658,-0.001537449658,0.1539129615,0,3.08671e-06,2.00529e-05,0.3540904745,-15.37425409,0.3508253296,0.02910480998
5,0.025000,0.3480294868,0.5142841265,3.535300493e-05,-0.001491487026,-0.001491487026,0.1195048392,0,2.00032e-06,1.67358e-05,0.3534993529,-14.91459949,0.3549381213,0.0290632507
6,0.030000,0.3525215611,0.4045361429,3.477185965e-05,-0.001362688839,-0.001362688839,0.09103868902,0,1.30866e-06,1.43716e-05,0.347686626,-13.62665241,0.3588144492,0.02926203634
7,0.035000,0.3550779223,0.3732911125,3.364682198e-05,-0.001206167042,-0.001206167042,0.06911235303,0,8.70572e-07,1.25926e-05,0.3364971057,-12.06149587,0.3624474918,0.02941719656
8,0.040000,0.3582611457,0.3167703897,3.219395876e-05,-0.001052208245,-0.001052208245,0.05278526247,0,5.92224e-07,1.1215e-05,0.3219157308,-10.52187531,0.3658309542,0.02912657958
9,0.045000,0.3656196967,0.147407271,3.059208393e-05,-0.0009134933352,-0.0009134933352,0.04076264799,0,4.12544e-07,1.01156e-05,0.305926159,-9.134812288,0.3689590897,0.02928252321
10,0.050000,0.3659921139,0.1945553496,2.897530794e-05,-0.0007935911417,-0.0007935911417,0.03189603984,0,2.94411e-07,9.22461e-06,0.2897285298,-7.935756996,0.3718267185,0.02929197429
11,0.055000,0.3635335788,0.3034816012,2.741068602e-05,-0.0006918385625,-0.0006918385625,0.02530248463,0,2.14918e-07,8.4876e-06,0.2740941048,-6.918280154,0.3744292454,0.02951162413
12,0.060000,0.3691365197,0.1872043088,2.592802048e-05,-0.0006061717868,-0.0006061717868,0.02034198493,0,1.59983e-07,7.8577e-06,0.2592715248,-6.061644591,0.376762676,0.02947900197
13,0.065000,0.3752083331,0.08207550645,2.455711365e-05,-0.0005340725183,-0.0005340725183,0.01656150073,0,1.21469e-07,7.32681e-06,0.2455311939,-5.340640813,0.3788236308,0.02962770445
14,0.070000,0.3800138012,0.01780575514,2.328306437e-05,-0.0004732385278,-0.0004732385278,0.01364230365,0,9.36799e-08,6.85861e-06,0.2328532264,-4.732281663,0.380609358,0.0295147845
15,0.075000,0.3844997436,-0.04250597209,2.212077379e-05,-0.0004216879606,-0.0004216879606,0.01135917753,0,7.34531e-08,6.4575e-06,0.2211906686,-4.216780782,0.3821177444,0.02956466879
16,0.080000,0.3814943582,0.04797493666,2.105534077e-05,-0.0003777518868,-0.0003777518868,0.009551756084,0,5.8419e-08,6.10649e-06,0.2105170265,-3.777483679,0.3833473249,0.02979048033
17,0.085000,0.381310463,0.06656983495,2.007931471e-05,-0.0003400743008,-0.0003400743008,0.008104786277,0,4.7088e-08,5.79968e-06,0.2007859945,-3.400678813,0.384297289,0.02983410222
18,0.090000,0.3797286153,0.1007582247,1.917779446e-05,-0.0003076195717,-0.0003076195717,0.006934046745,0,3.83499e-08,5.5198e-06,0.1917379275,-3.076177284,0.3849674875,0.02998646313
19,0.095000,0.3767980114,0.1444482058,1.835078001e-05,-0.0002794861794,-0.0002794861794,0.005977466702,0,3.15787e-08,5.27141e-06,0.1834773123,-2.794804722,0.3853584351,0.03000000344
20,0.100000,0.3772551268,0.1263395771,1.759082079e-05,-0.0002549514174,-0.0002549514174,0.005188785493,0,2.62748e-08,5.05155e-06,0.1759071648,-2.549456619,0.385471313,0.03000174725
21,0.105000,0.3768991306,0.1186625957,1.689046621e-05,-0.000233463943,-0.000233463943,0.004533059895,0,2.20601e-08,4.8536e-06,0.1688649431,-2.334571801,0.3853079687,0.03037491119
22,0.110000,0.3769252151,0.1046125591,1.623481512e-05,-0.0002145394683,-0.0002145394683,0.003983609378,0,1.8646e-08,4.66712e-06,0.1623814255,-2.145344481,0.3848709138,0.03051259596
23,0.115000,0.3790366799,0.05891849846,1.563131809e-05,-0.0001978129148,-0.0001978129148,0.00351986289,0,1.58901e-08,4.50019e-06,0.1562735736,-1.978124216,0.3841633207,0.0306664229
24,0.120000,0.3789321333,0.04161213338,1.507252455e-05,-0.000182941556,-0.000182941556,0.003125831485,0,1.36466e-08,4.35081e-06,0.1507213339,-1.829410277,0.3831890168,0.0309238227
25,0.125000,0.3753008917,0.06670020521,1.455098391e-05,-0.0001696869731,-0.0001696869731,0.002788931131,0,1.1788e-08,4.2111e-06,0.1454765424,-1.696823075,0.381952477,0.0306037389
26,0.130000,0.3736323938,0.0652571246,1.405924559e-05,-0.0001578107476,-0.0001578107476,0.002499178052,0,1.02323e-08,4.07799e-06,0.1406069919,-1.578114994,0.3804588148,0.03073747035
27,0.135000,0.3744445369,0.03618718684,1.360476017e-05,-0.0001471415162,-0.0001471415162,0.002248637378,0,8.94155e-09,3.95945e-06,0.1360154524,-1.471387193,0.3787137707,0.03107144031
28,0.140000,0.3726701066,0.032600604,1.318007708e-05,-0.0001375153661,-0.0001375153661,0.00203089416,0,7.85687e-09,3.85098e-06,0.1317678988,-1.375121288,0.3767237,0.03109048574
29,0.145000,0.3713876531,0.02339548618,1.277774572e-05,-0.0001288056374,-0.0001288056374,0.001840740442,0,6.92962e-09,3.7462e-06,0.127761893,-1.28801664,0.3744955577,0.03084063255
30,0.150000,0.3708846122,0.005714178085,1.239776611e-05,-0.0001208931208,-0.0001208931208,0.001673944294,0,6.13802e-09,3.64774e-06,0.1240046993,-1.208915286,0.3720368825,0.03079601978
31,0.155000,0.3682695776,0.005001038313,1.204758883e-05,-0.0001136884093,-0.0001136884093,0.001527033746,0,5.47202e-09,3.56363e-06,0.1204456091,-1.136893839,0.3693557792,0.03094052993
32,0.160000,0.3658690378,0.0008967071772,1.17123127e-05,-0.0001071169972,-0.0001071169972,0.001397117972,0,4.88943e-09,3.47915e-06,0.1170898601,-1.071174845,0.3664608987,0.03073216152
33,0.165000,0.3626773134,-0.002072922885,1.139938831e-05,-0.0001010969281,-0.0001010969281,0.001281805336,0,4.39121e-09,3.40456e-06,0.1140009239,-1.010957822,0.3633614171,0.03110606862
34,0.170000,0.3581772298,0.008331522346,1.110136509e-05,-9.556859732e-05,-9.556859732e-05,0.001179106534,0,3.95634e-09,3.33341e-06,0.1110080779,-0.9556894973,0.3600670134,0.03103148717
