k,t,angle,bias,p00,p01,p10,p11,sym_resid,det,lambda_min,k0,k1,true_angle,true_bias
0,0.000000,0.3501977548,-0.0004313914105,9.998958558e-05,-1.24797225e-07,-1.24797225e-07,0.249998481,0,2.49972e-05,9.99896e-05,0.9999000104,-0.001249864697,0.3321631364,0.02976457986
1,0.005000,0.3397050723,0.1831803983,5.15235588e-05,-0.000606010668,-0.000606010668,0.2424226757,0,1.21232e-05,5.00083e-05,0.5152371582,-6.060113415,0.337143824,0.02952618409
2,0.010000,0.349339135,0.02003733162,3.89078632e-05,-0.00111072138,-0.00111072138,0.222228393,0,7.41273e-06,3.33555e-05,0.3890839163,-11.10723206,0.3419201442,0.02939892084
3,0.015000,0.3513729908,0.1180553352,3.57395038e-05,-0.001427787356,-0.001427787356,0.1905048974,0,4.76997e-06,2.50372e-05,0.3573920801,-14.27789648,0.3464834012,0.02946617007
4,0.020000,0.3511831388,0.2821524842,3.541074693e-05,-0.001537428237,-0.001537428237,0.153909306,0,3.08636e-06,2.00511e-05,0.3541063881,-15.37430598,0.3508253296,0.02910480998
5,0.025000,0.3480294719,0.5142821539,3.534927964e-05,-0.001491477713,-0.001491477713,0.1195012834,0,1.99978e-06,1.67318e-05,0.3534919284,-14.91480164,0.3549381213,0.0290632507
6,0.030000,0.3525214009,0.4045300065,3.476627171e-05,-0.001362713054,-0.001362713054,0.09103440959,0,1.30794e-06,1.43643e-05,0.347667072,-13.62715675,0.3588144492,0.02926203634
7,0.035000,0.3550778218,0.373282535,3.364961594e-05,-0.001206179149,-0.001206179149,0.06910746824,0,8.70572e-07,1.25935e-05,0.3364930665,-12.06181253,0.3624474918,0.02941719656
8,0.040000,0.3582613617,0.3167646583,3.21958214e-05,-0.001052121632,-0.001052121632,0.05278153624,0,5.92385e-07,1.12189e-05,0.3219626164,-10.52123642,0.3658309542,0.02912657958
9,0.045000,0.3656202741,0.1474198783,3.05948779e-05,-0.0009133927524,-0.0009133927524,0.04076103959,0,4.12793e-07,1.01221e-05,0.3059480563,-9.133944392,0.3689590897,0.02928252321
10,0.050000,0.3659924231,0.194567835,2.89734453e-05,-0.0007935045287,-0.0007935045287,0.03189605754,0,2.94489e-07,9.22707e-06,0.2897370597,-7.935055405,0.3718267185,0.02929197429
