k,t,angle,bias,p00,p01,p10,p11,sym_resid,det,lambda_min,k0,k1,true_angle,true_bias
0,0.000000,0.3252166733,-0.0007865186781,9.998958558e-05,-2.4959445e-07,-2.4959445e-07,0.2499938412,0,2.49968e-05,9.99896e-05,0.9999000123,-0.002499684691,0.3321631364,0.02966706565
1,0.010000,0.3412678242,-0.1212934032,5.557201803e-05,-0.001110773534,-0.001110773534,0.2222224558,0,1.11155e-05,5.00186e-05,0.5557238199,-11.10775685,0.3419201442,0.02933050891
2,0.020000,0.3515089862,-0.1250591436,5.002506077e-05,-0.001665661111,-0.001665661111,0.1667060042,0,5.56505e-06,3.33791e-05,0.5002513314,-16.6566398,0.3508253296,0.02915111728
3,0.030000,0.3593225665,-0.08656912018,5.002506077e-05,-0.001665530726,-0.001665530726,0.1111985091,0,2.78872e-06,2.50731e-05,0.5002490049,-16.65533499,0.3588144492,0.02924680783
4,0.040000,0.3619758971,0.06060408056,4.859827459e-05,-0.001427697018,-0.001427697018,0.07154402882,0,1.4386e-06,2.00999e-05,0.4859807268,-14.27699135,0.3658309542,0.02873635328
5,0.050000,0.3614070043,0.2235422106,4.576891661e-05,-0.001162237488,-0.001162237488,0.04663573392,0,7.83671e-07,1.67937e-05,0.4576933756,-11.6223945,0.3718267185,0.02867816537
6,0.060000,0.3767031729,-0.05470511131,4.24515456e-05,-0.0009372271597,-0.0009372271597,0.03137217648,0,4.53403e-07,1.44395e-05,0.4245180376,-9.372283354,0.376762676,0.0289598765
7,0.070000,0.382094916,-0.0662005078,3.918167204e-05,-0.0007608095184,-0.0007608095184,0.02185491566,0,2.77481e-07,1.26811e-05,0.3918141238,-7.608106583,0.380609358,0.02917989197
8,0.080000,0.3831512891,-0.03030616045,3.617350012e-05,-0.0006250934675,-0.0006250934675,0.0157330893,0,1.78379e-07,1.13199e-05,0.3617314696,-6.250946641,0.3833473249,0.02876948329
9,0.090000,0.3865856901,-0.06386052072,3.348384053e-05,-0.0005204398185,-0.0005204398185,0.01166112069,0,1.19602e-07,1.0236e-05,0.3348366115,-5.204410717,0.3849674875,0.02899060667
10,0.100000,0.3863813095,-0.04260773491,3.110524267e-05,-0.0004388950765,-0.0004388950765,0.008865221404,0,8.3126e-08,9.35369e-06,0.3110515103,-4.388958752,0.385471313,0.0290045583
11,0.110000,0.3881546259,-0.07840920798,2.900790423e-05,-0.0003745192662,-0.0003745192662,0.006889540702,0,5.95865e-08,8.62331e-06,0.2900751755,-3.74519825,0.3848709138,0.02931577587
