k,t,angle,bias,p00,p01,p10,p11,sym_resid,det,lambda_min,k0,k1,true_angle,true_bias
0,0.000000,0.3252166733,-0.0007865205407,9.999424219e-05,-2.533197403e-07,-2.533197403e-07,0.2499938384,0,2.49979e-05,9.99942e-05,0.9999000132,-0.002499684691,0.3321631364,0.02966706565
1,0.010000,0.3412678391,-0.1212910935,5.557388067e-05,-0.001110769808,-0.001110769808,0.2222229466,0,1.1116e-05,5.00205e-05,0.5557247326,-11.10754361,0.3419201442,0.02933050891
2,0.020000,0.3515089825,-0.1249084994,5.002319813e-05,-0.001665696502,-0.001665696502,0.1667926237,0,5.56896e-06,3.33852e-05,0.5002420247,-16,0.3508253296,0.02915111728
3,0.030000,0.3593217805,-0.08795719594,5.002319813e-05,-0.001665942371,-0.001665942371,0.1113444194,0,2.79444e-06,2.50916e-05,0.5002606288,-16,0.3588144492,0.02924680783
4,0.040000,0.3619821966,0.05948750675,4.860013723e-05,-0.001428544521,-0.001428544521,0.07164048404,0,1.441e-06,2.01063e-05,0.4860228226,-14.2851727,0.3658309542,0.02873635328
5,0.050000,0.361415498,0.2227425203,4.577636719e-05,-0.001163072884,-0.001163072884,0.04669374973,0,7.84732e-07,1.67955e-05,0.4577626958,-11.63050944,0.3718267185,0.02867816537
6,0.060000,0.3767155483,-0.05553943664,4.246085882e-05,-0.0009378790855,-0.0009378790855,0.03140654415,0,4.53932e-07,1.44405e-05,0.424615249,-9.378659919,0.376762676,0.0289598765
7,0.070000,0.3821076453,-0.06688446552,3.919005394e-05,-0.000761307776,-0.000761307776,0.02187564969,0,2.77718e-07,1.268e-05,0.3918992355,-7.612948529,0.380609358,0.02917989197
8,0.080000,0.3831633851,-0.03084632754,3.618001938e-05,-0.0006254762411,-0.0006254762411,0.01574575901,0,1.78461e-07,1.13161e-05,0.3617992476,-6.254671678,0.3833473249,0.02876948329
9,0.090000,0.3865976483,-0.06432840228,3.349035978e-05,-0.0005207434297,-0.0005207434297,0.01166883856,0,1.1962e-07,1.02308e-05,0.3348860294,-5.207333997,0.3849674875,0.02899060667
10,0.100000,0.3863923997,-0.04299247265,3.111362457e-05,-0.0004391148686,-0.0004391148686,0.008869938552,0,8.31541e-08,9.35188e-06,0.3111270815,-4.391038798,0.385471313,0.0290045583
11,0.110000,0.3881655112,-0.07875390351,2.901256084e-05,-0.0003746896982,-0.0003746896982,0.006892390549,0,5.95735e-08,8.61788e-06,0.2901041955,-3.746866241,0.3848709138,0.02931577587
12,0.120000,0.3834541887,-0.03612791002,2.715736628e-05,-0.0003231391311,-0.0003231391311,0.00545900315,0,4.38333e-08,8.00146e-06,0.2715727761,-3.231357865,0.3831890168,0.02927022695
13,0.130000,0.3821249083,-0.04812887311,2.551823854e-05,-0.0002813488245,-0.0002813488245,0.004396386445,0,3.30309e-08,7.48249e-06,0.2551609352,-2.81342952,0.3804588148,0.02948110981
14,0.140000,0.3813768923,-0.07263347507,2.405792475e-05,-0.000247053802,-0.000247053802,0.003592796624,0,2.53996e-08,7.03627e-06,0.2405793816,-2.470465086,0.3767237,0.02932200267
15,0.150000,0.3749338537,-0.05033943057,2.275407314e-05,-0.0002186000347,-0.0002186000347,0.002974301577,0,1.98915e-08,6.65178e-06,0.227510795,-2.185956836,0.3720368825,0.02939313549
16,0.160000,0.3753888085,-0.09673808515,2.157688141e-05,-0.0001947656274,-0.0001947656274,0.002490706742,0,1.5808e-08,6.30814e-06,0.2157298103,-1.947645202,0.3664608987,0.02971306703
17,0.170000,0.3697652817,-0.09559050947,2.051144838e-05,-0.0001746118069,-0.0001746118069,0.002107232809,0,1.27331e-08,6.00125e-06,0.2051403522,-1.746061824,0.3600670134,0.02977534348
18,0.180000,0.3629206419,-0.09464585781,1.955032349e-05,-0.0001574233174,-0.0001574233174,0.001799277961,0,1.03944e-08,5.73294e-06,0.1955166608,-1.574202828,0.3529345242,0.02999140013
19,0.190000,0.3542882502,-0.08190259337,1.867115498e-05,-0.0001426562667,-0.0001426562667,0.001549124718,0,8.57314e-09,5.48748e-06,0.1867426112,-1.426563255,0.3451499732,0.0300111348
20,0.200000,0.3435774073,-0.05669408292,1.787394285e-05,-0.000129878521,-0.000129878521,0.001343816519,0,7.15087e-09,5.27188e-06,0.1787309572,-1.298782356,0.3368062767,0.03001418672
21,0.210000,0.3335833102,-0.03985860944,1.714378595e-05,-0.0001187473536,-0.0001187473536,0.001173719764,0,6.02107e-09,5.0777e-06,0.1714303344,-1.18748071,0.3280017819,0.030542506
22,0.220000,0.3234121501,-0.03243362159,1.64732337e-05,-0.000108987093,-0.000108987093,0.001031599939,0,5.1156e-09,4.9039e-06,0.1647271141,-1.089862466,0.3188392603,0.03073780746
23,0.230000,0.3117247,-0.01354662329,1.585483551e-05,-0.000100389123,-0.000100389123,0.0009119212627,0,4.38039e-09,4.74566e-06,0.1585480571,-1.003886901,0.3094248505,0.03095593739
24,0.240000,0.3001653925,0.00145047158,1.528859138e-05,-9.276717901e-05,-9.276717901e-05,0.0008104145527,0,3.78435e-09,4.60891e-06,0.1528654397,-0.9276697785,0.2998669599,0.03132054147
25,0.250000,0.2903452367,0.00433973968,1.475960016e-05,-8.598715067e-05,-8.598715067e-05,0.0007237717509,0,3.28879e-09,4.48033e-06,0.1475930363,-0.8598374203,0.2902751402,0.0308684604
26,0.260000,0.2814842537,0.004879422486,1.426041126e-05,-7.992237806e-05,-7.992237806e-05,0.0006493553519,0,2.87249e-09,4.35715e-06,0.142638132,-0.7992334738,0.2807589468,0.03105817102
27,0.270000,0.2734451368,-7.811188698e-05,1.379847527e-05,-7.449090481e-05,-7.449090481e-05,0.0005850791931,0,2.52431e-09,4.24515e-06,0.1380129755,-0.7449104115,0.2714267963,0.03153106165
28,0.280000,0.2650719956,0.001410625875,1.337379217e-05,-6.959587336e-05,-6.959587336e-05,0.0005292668939,0,2.23472e-09,4.14997e-06,0.1337291822,-0.6959468201,0.2623848341,0.03155858174
29,0.290000,0.2580977827,-0.0008995458484,1.297146082e-05,-6.517022848e-05,-6.517022848e-05,0.0004805549979,0,1.98634e-09,4.05816e-06,0.1297412962,-0.6516890377,0.2537358252,0.03120582176
30,0.300000,0.2515076175,-0.003927506506,1.259148121e-05,-6.116181612e-05,-6.116181612e-05,0.0004378557205,0,1.77248e-09,3.96993e-06,0.1259442568,-0.6116176099,0.2455780804,0.03114331556
31,0.310000,0.2437339053,0.0006690770388,1.224130392e-05,-5.751848221e-05,-5.751848221e-05,0.0004002377391,0,1.59106e-09,3.89406e-06,0.1224009395,-0.5751928836,0.2380044294,0.03134826957
32,0.320000,0.2369481474,0.003659442067,1.191347837e-05,-5.418807268e-05,-5.418807268e-05,0.0003669783473,0,1.43564e-09,3.82772e-06,0.119117938,-0.5419045761,0.231101253,0.03105417792
33,0.330000,0.2280431762,0.0185167864,1.160800457e-05,-5.11482358e-05,-5.11482358e-05,0.0003374740481,0,1.30126e-09,3.76834e-06,0.1160432026,-0.5114594325,0.2249475854,0.0315835482
34,0.340000,0.2229100764,0.02207572758,1.130998135e-05,-4.835426807e-05,-4.835426807e-05,0.0003111883998,0,1.1814e-09,3.70586e-06,0.1131227687,-0.4835469797,0.2196142948,0.03147865988
35,0.350000,0.2191207856,0.02143836021,1.102685928e-05,-4.579126835e-05,-4.579126835e-05,0.0002877116203,0,1.07572e-09,3.64534e-06,0.1103009433,-0.4579079971,0.2151633538,0.03096849217
36,0.360000,0.2163886428,0.02068131417,1.075863838e-05,-4.34294343e-05,-4.34294343e-05,0.0002666637301,0,9.82823e-10,3.58913e-06,0.1075797901,-0.434308514,0.2116472066,0.03066032634
37,0.370000,0.2134793326,0.02405338734,1.050531864e-05,-4.125386477e-05,-4.125386477e-05,0.0002477392554,0,9.00698e-10,3.53619e-06,0.1050806791,-0.4125216678,0.2091082391,0.03049017655
38,0.380000,0.21156317,0.02611062676,1.026690006e-05,-3.9242208e-05,-3.9242208e-05,0.0002306625247,0,8.28238e-10,3.48818e-06,0.1026875228,-0.3924321458,0.2075783601,0.03042356994
39,0.390000,0.2122940868,0.02193564922,1.004338264e-05,-3.737956285e-05,-3.737956285e-05,0.0002152100205,0,7.64205e-10,3.44534e-06,0.1004624367,-0.3737685159,0.2070786955,0.03022350979
40,0.400000,0.2117206156,0.02762342989,9.827315807e-06,-3.564357758e-05,-3.564357758e-05,0.0002012103796,0,7.06893e-10,3.40453e-06,0.09828686714,-0.3564662412,0.2076194013,0.03007280427
41,0.410000,0.2130473703,0.03005838394,9.626150131e-06,-3.402680159e-05,-3.402680159e-05,0.0001884847879,0,6.5656e-10,3.37148e-06,0.09628333151,-0.3402908668,0.2091995959,0.030295565
42,0.420000,0.2154160887,0.03139565885,9.432435036e-06,-3.252178431e-05,-3.252178431e-05,0.0001768916845,0,6.10853e-10,3.33825e-06,0.0943319872,-0.325236164,0.2118074121,0.02981613177
43,0.430000,0.2185286507,0.03566680849,9.246170521e-06,-3.111362457e-05,-3.111362457e-05,0.0001663118601,0,5.6969e-10,3.30733e-06,0.09249492735,-0.3111561835,0.2154201701,0.02959923005
44,0.440000,0.2238390446,0.03493584692,9.074807167e-06,-2.980232239e-05,-2.980232239e-05,0.0001566335559,0,5.33241e-10,3.28299e-06,0.09071201086,-0.2980150431,0.220004667,0.02986841553
45,0.450000,0.2297711596,0.03422000259,8.903443813e-06,-2.857297659e-05,-2.857297659e-05,0.0001477599144,0,4.99157e-10,3.25375e-06,0.08904574811,-0.2857336774,0.2255175814,0.0303305498
46,0.460000,0.2355627641,0.03683644533,8.73953104e-06,-2.742558718e-05,-2.742558718e-05,0.0001396089792,0,4.67954e-10,3.22451e-06,0.08737336099,-0.2742231563,0.2319059867,0.03051829799
47,0.470000,0.242270112,0.04022292793,8.590519428e-06,-2.634525299e-05,-2.634525299e-05,0.0001321062446,0,4.40789e-10,3.20595e-06,0.0858816281,-0.2634339035,0.2391079691,0.03066740791
48,0.480000,0.2500158697,0.03974708915,8.441507816e-06,-2.533197403e-05,-2.533197403e-05,0.0001251921058,0,4.15101e-10,3.18203e-06,0.08438502252,-0.2532914951,0.247053342,0.03060026015
49,0.490000,0.2593374252,0.03948556632,8.299946785e-06,-2.437829971e-05,-2.437829971e-05,0.0001187995076,0,3.91728e-10,3.16066e-06,0.08300881088,-0.2437658012,0.2556644483,0.03036719012
50,0.500000,0.2690167725,0.03930791467,8.165836334e-06,-2.347677946e-05,-2.347677946e-05,0.0001128986478,0,3.70753e-10,3.14409e-06,0.08162846416,-0.2347588092,0.2648570434,0.03016283812
51,0.510000,0.2786052451,0.04080489278,8.039176464e-06,-2.263486385e-05,-2.263486385e-05,0.0001074150205,0,3.51191e-10,3.12649e-06,0.08036998659,-0.2263103798,0.2745412464,0.03007147511
52,0.520000,0.2887192592,0.04109885544,7.912516594e-06,-2.183020115e-05,-2.183020115e-05,0.0001023262739,0,3.33101e-10,3.10933e-06,0.07910805941,-0.2183190361,0.2846225509,0.03009672976
53,0.530000,0.2996719927,0.04036026448,7.793307304e-06,-2.107024193e-05,-2.107024193e-05,9.760260582e-05,0,3.16692e-10,3.09571e-06,0.07790601999,-0.2107034922,0.2950028822,0.03005692309
54,0.540000,0.3101663962,0.03976441175,7.674098015e-06,-2.035498619e-05,-2.035498619e-05,9.320676327e-05,0,3.00952e-10,3.0771e-06,0.07676434517,-0.2035355642,0.3055816905,0.02971052266
55,0.550000,0.320461981,0.04096975923,7.562339306e-06,-1.967698336e-05,-1.967698336e-05,8.911639452e-05,0,2.86745e-10,3.063e-06,0.07561983168,-0.1967630833,0.3162570664,0.02983368425
56,0.560000,0.3303047642,0.04248615354,7.450580597e-06,-1.903623343e-05,-1.903623343e-05,8.527934551e-05,0,2.73002e-10,3.04398e-06,0.0745363012,-0.1903744042,0.3269268672,0.0301834009
57,0.570000,0.3395794928,0.04506099969,7.353723049e-06,-1.842528582e-05,-1.842528582e-05,8.170306683e-05,0,2.61331e-10,3.03807e-06,0.07351418585,-0.1842341423,0.3374898403,0.03108892053
58,0.580000,0.3489670902,0.04740902781,7.256865501e-06,-1.785159111e-05,-1.785159111e-05,7.835775614e-05,0,2.49952e-10,3.02649e-06,0.07255389541,-0.1784825847,0.3478467318,0.03058587344
59,0.590000,0.3587136418,0.04762066901,7.160007954e-06,-1.730024815e-05,-1.730024815e-05,7.522106171e-05,0,2.39285e-10,3.01495e-06,0.07159161568,-0.1729957834,0.3579013682,0.0303835641
