k,t,angle,bias,p00,p01,p10,p11,sym_resid,det,lambda_min,k0,k1,true_angle,true_bias
0,0.000000,0.3422500603,-0.003006651998,9.998958558e-05,-9.993091226e-07,-9.993091226e-07,0.24990041,0,2.49874e-05,9.99896e-05,0.9999000505,-0.009995013475,0.3321631364,0.0293341313
1,0.040000,0.3739550188,-0.07874340657,8.334033191e-05,-0.001665415242,-0.001665415242,0.08340849075,0,4.17768e-06,5.00671e-05,0.83340884,-16.65418534,0.3658309542,0.02866501781
2,0.080000,0.3714582659,0.1590234358,7.779709995e-05,-0.001110544428,-0.001110544428,0.02786197793,0,9.34272e-07,3.34789e-05,0.7779693957,-11.10546112,0.3833473249,0.02831023456
3,0.120000,0.3779201843,-0.06162525713,6.790552288e-05,-0.0007141102105,-0.0007141102105,0.01197314076,0,3.03089e-07,2.52242e-05,0.6790561844,-7.141111985,0.3831890168,0.02850561566
4,0.160000,0.3685156405,-0.1519898297,5.910918117e-05,-0.0004878491163,-0.0004878491163,0.006153245457,0,1.25717e-07,2.03029e-05,0.5910885995,-4.878496483,0.3664608987,0.02748870657
5,0.200000,0.3303505294,-0.07818370219,5.20022586e-05,-0.0003522979096,-0.0003522979096,0.003567785025,0,6.14191e-08,1.70479e-05,0.5200218139,-3.522981063,0.3368062767,0.02737633073
6,0.240000,0.3075942919,-0.1408903459,4.631001502e-05,-0.0002657743171,-0.0002657743171,0.002252517268,0,3.36781e-08,1.47447e-05,0.4631004706,-2.657746181,0.2998669599,0.027943753
7,0.280000,0.2709953524,-0.09463198762,4.170369357e-05,-0.0002074670047,-0.0002074670047,0.00151453726,0,2.01192e-08,1.30373e-05,0.4170349538,-2.074674517,0.2623848341,0.02838778395
8,0.320000,0.2401679568,-0.049923026,3.792066127e-05,-0.0001664059237,-0.0001664059237,0.001068835147,0,1.284e-08,1.17257e-05,0.3792118588,-1.664063036,0.231101253,0.02757096659
9,0.360000,0.2205089815,-0.007890949957,3.4769997e-05,-0.0001364396885,-0.0001364396885,0.0007838085294,0,8.63723e-09,1.06911e-05,0.3476987751,-1.364399061,0.2116472066,0.02801721334
10,0.400000,0.2249884233,-0.003799192607,3.211107105e-05,-0.0001139165834,-0.0001139165834,0.0005930187181,0,6.06548e-09,9.85821e-06,0.321113795,-1.139167443,0.2076194013,0.02804911661
11,0.440000,0.2374625728,0.0262357872,2.984143794e-05,-9.656976908e-05,-9.656976908e-05,0.0004604551941,0,4.41492e-09,9.17634e-06,0.2984109148,-0.9657026678,0.220004667,0.02867555175
12,0.480000,0.2667870335,0.03654906992,2.788379788e-05,-8.293054998e-05,-8.293054998e-05,0.000365450047,0,3.31266e-09,8.6105e-06,0.2788367253,-0.8293035179,0.247053342,0.0285884539
13,0.520000,0.3022326119,0.05279705673,2.617947757e-05,-7.201638073e-05,-7.201638073e-05,0.0002955542877,0,2.5511e-09,8.13491e-06,0.2617959064,-0.7201638967,0.2846225509,0.02901421962
14,0.560000,0.3405928761,0.05946585536,2.468377352e-05,-6.314925849e-05,-6.314925849e-05,0.0002429662272,0,2.00949e-09,7.73124e-06,0.2468417911,-0.6314944029,0.3269268672,0.02870000534
15,0.600000,0.369093854,0.07652864698,2.336315811e-05,-5.584955215e-05,-5.584955215e-05,0.0002026259899,0,1.61481e-09,7.38698e-06,0.2336285841,-0.5584945828,0.3675616969,0.02884627098
16,0.640000,0.3987985216,0.06961004063,2.218876034e-05,-4.976987839e-05,-4.976987839e-05,0.0001711528748,0,1.32063e-09,7.09059e-06,0.2218880672,-0.4976991564,0.4006167588,0.02949013406
17,0.680000,0.4179764651,0.05742312036,2.11391598e-05,-4.465412349e-05,-4.465412349e-05,0.0001462288201,0,1.09716e-09,6.83448e-06,0.211389876,-0.4465392679,0.4216818414,0.02961868696
18,0.720000,0.4192359783,0.05203863885,2.019573003e-05,-4.030950367e-05,-4.030950367e-05,0.0001262286678,0,9.24424e-10,6.61188e-06,0.2019532351,-0.4030963331,0.4285672788,0.03005480026
19,0.760000,0.4113068022,0.04122331738,1.934356987e-05,-3.659073263e-05,-3.659073263e-05,0.0001099891961,0,7.88702e-10,6.41658e-06,0.1934347413,-0.3659042269,0.4216136213,0.03009826961
20,0.800000,0.390950352,0.03720911033,1.857243478e-05,-3.338325769e-05,-3.338325769e-05,9.666197002e-05,0,6.80806e-10,6.24663e-06,0.1857216526,-0.3338363767,0.4035393989,0.03010837344
21,0.840000,0.363296397,0.03878283594,1.787021756e-05,-3.059953451e-05,-3.059953451e-05,8.562300354e-05,0,5.9377e-10,6.0964e-06,0.1787022799,-0.3059960008,0.3788592744,0.03116901201
22,0.880000,0.3428645618,0.03460611962,1.722853631e-05,-2.816785127e-05,-2.816785127e-05,7.63963908e-05,0,5.2277e-10,5.96352e-06,0.1722888593,-0.2816826552,0.352982255,0.03156361491
23,0.920000,0.3243409358,0.03461683262,1.664180309e-05,-2.603325993e-05,-2.603325993e-05,6.862636656e-05,0,4.64336e-10,5.84646e-06,0.1664221222,-0.260334909,0.3311570568,0.03200387479
24,0.960000,0.3162518516,0.03504701331,1.610349864e-05,-2.415012568e-05,-2.415012568e-05,6.20353967e-05,0,4.15758e-10,5.74283e-06,0.1610357547,-0.2414989322,0.3174588739,0.03273708294
25,1.000000,0.3182786591,0.03415998351,1.560803503e-05,-2.248119563e-05,-2.248119563e-05,5.64083457e-05,0,3.75019e-10,5.65081e-06,0.1560837207,-0.2248080224,0.3140038261,0.03183692079
26,1.040000,0.3286807425,0.0355909206,1.515168697e-05,-2.099573612e-05,-2.099573612e-05,5.157198757e-05,0,3.40582e-10,5.5692e-06,0.1515156301,-0.2099598497,0.3205357065,0.03222034203
27,1.080000,0.3433258533,0.03718964383,1.472979784e-05,-1.966860145e-05,-1.966860145e-05,4.739686847e-05,0,3.11292e-10,5.49698e-06,0.1472975332,-0.1966852546,0.3344618335,0.0331701233
28,1.120000,0.3613909781,0.03564557247,1.433957368e-05,-1.847930253e-05,-1.847930253e-05,4.377216101e-05,0,2.8619e-10,5.4327e-06,0.1433927948,-0.1847895533,0.3513330729,0.03322916348
