k,t,angle,bias,p00,p01,p10,p11,sym_resid,det,lambda_min,k0,k1,true_angle,true_bias
0,0.000000,0.3397630602,-0.0002105487511,9.998958558e-05,-6.23986125e-08,-6.23986125e-08,0.2499996321,0,2.49974e-05,9.99896e-05,0.9999000104,-0.0006249397993,0.3321631364,0.02983353282
1,0.002500,0.3354933932,0.04073009081,5.039013922e-05,-0.0003100894392,-0.0003100894392,0.2480614027,0,1.24037e-05,5.00024e-05,0.5039064121,-3.100896791,0.3346784665,0.02966475445
2,0.005000,0.3368006386,0.0642107781,3.485847265e-05,-0.0006059706211,-0.0006059706211,0.2424244164,0,8.08334e-06,3.33436e-05,0.3485891782,-6.059714988,0.337143824,0.02957455864
3,0.007500,0.3426332697,-0.04410961829,2.827774733e-05,-0.0008692964911,-0.0008692964911,0.2318882709,0,5.8016e-06,2.50186e-05,0.2827771399,-8.692982346,0.3395580833,0.02962190391
4,0.010000,0.3483892754,-0.1858317675,2.542603761e-05,-0.001080583781,-0.001080583781,0.2162304297,0,4.33022e-06,2.00255e-05,0.2542643631,-10.80585343,0.3419201442,0.02936617664
5,0.012500,0.3447587341,0.1260688938,2.435874194e-05,-0.001226262189,-0.001226262189,0.1963507459,0,3.27914e-06,1.66998e-05,0.2435893826,-12.26264513,0.3442289326,0.02933658268
6,0.015000,0.3493532389,-0.01592493523,2.409238368e-05,-0.001303435303,-0.001303435303,0.17396894,0,2.49238e-06,1.43258e-05,0.2409263793,-13.0343716,0.3464834012,0.02947693825
7,0.017500,0.3533832654,-0.1162114581,2.408120781e-05,-0.001319746487,-0.001319746487,0.1510270135,0,1.89518e-06,1.25477e-05,0.2408083035,-13.19748713,0.3486825305,0.02958644599
8,0.020000,0.3507530428,0.1546181524,2.40392983e-05,-0.001289297827,-0.001289297827,0.1291435687,0,1.44223e-06,1.11666e-05,0.2403893769,-12.89299914,0.3508253296,0.02938074165
9,0.022500,0.3540216796,0.08347329032,2.384744585e-05,-0.001227694564,-0.001227694564,0.1093511982,0,1.10051e-06,1.00628e-05,0.2384768687,-12.2769665,0.352910837,0.02949080333
10,0.025000,0.3584873676,-0.05119865108,2.348423004e-05,-0.001148559153,-0.001148559153,0.09211049229,0,8.43956e-07,9.161e-06,0.2348409807,-11.48560882,0.3549381213,0.02949727915
11,0.027500,0.3592717648,-0.003988833167,2.297293395e-05,-0.001062074676,-0.001062074676,0.07746623456,0,6.51624e-07,8.41014e-06,0.2297306992,-10.62076214,0.3569062817,0.02965238794
12,0.030000,0.3615861274,-0.01505382732,2.235453576e-05,-0.000975029543,-0.000975029543,0.06522239838,0,5.07334e-07,7.77678e-06,0.2235423429,-9.750309139,0.3588144492,0.02962911348
13,0.032500,0.3617914058,0.06279064622,2.166628838e-05,-0.0008915020153,-0.0008915020153,0.05507635325,0,3.98524e-07,7.23396e-06,0.2166655725,-8.915030673,0.3606617872,0.0297340549
14,0.035000,0.3616556115,0.1387421675,2.094265074e-05,-0.00081365183,-0.00081365183,0.04670232069,0,3.16041e-07,6.76509e-06,0.2094273223,-8.136528298,0.3624474918,0.02965400134
15,0.037500,0.3621219248,0.1812011367,2.020783722e-05,-0.0007423935458,-0.0007423935458,0.03979504481,0,2.53024e-07,6.35596e-06,0.2020777753,-7.42394495,0.3641707927,0.02968906775
16,0.040000,0.3646460064,0.1260217046,1.947861165e-05,-0.0006778910756,-0.0006778910756,0.03408801835,0,2.04451e-07,5.99537e-06,0.1947896127,-6.77892597,0.3658309542,0.02984853351
