k,t,angle,bias,p00,p01,p10,p11,sym_resid,det,lambda_min,k0,k1,true_angle,true_bias
0,0.000000,0.336944703,-0.001577868126,0.0001000165939,-4.768371582e-07,-4.768371582e-07,0.2499752045,0,2.50017e-05,0.000100017,0.999900003,-0.004998996854,0.3321631364,0.02952915973
1,0.020000,0.3605811931,-0.1447395217,6.66975975e-05,-0.001665651798,-0.001665651798,0.166705668,0,8.34447e-06,5.00501e-05,0.6668651979,-16.65396069,0.3508253296,0.02905436819
2,0.040000,0.3730411753,-0.06154194754,6.66975975e-05,-0.001665592194,-0.001665592194,0.0834440589,0,2.79132e-06,3.34381e-05,0.6668651979,-16.65316656,0.3658309542,0.02880184169
3,0.060000,0.3776431121,0.06224541739,6.252527237e-05,-0.001249492168,-0.001249492168,0.04178726673,0,1.05153e-06,2.51414e-05,0.6252791425,-12.49285395,0.376762676,0.02893834014
4,0.080000,0.3825775795,0.04859522916,5.638599396e-05,-0.0009090900421,-0.0009090900421,0.02283465862,0,4.6111e-07,2.01615e-05,0.5640426083,-9.089114055,0.3833473249,0.02821761997
5,0.100000,0.3951440603,-0.1358216694,5.048513412e-05,-0.000676035881,-0.000676035881,0.01360321045,0,2.29735e-07,1.68467e-05,0.5050147492,-6.759292036,0.385471313,0.0281365014
6,0.120000,0.3932507001,-0.1173397899,4.541873932e-05,-0.0005176663399,-0.0005176663399,0.008696138859,0,1.26989e-07,1.45513e-05,0.4539537914,-5.176049456,0.3831890168,0.02853607267
7,0.140000,0.3922254778,-0.163696588,4.11272049e-05,-0.0004073381424,-0.0004073381424,0.005879759789,0,7.58937e-08,1.28458e-05,0.4110214114,-4.072657079,0.3767237,0.02884839312
8,0.160000,0.3773191869,-0.1074260445,3.749132156e-05,-0.0003281831741,-0.0003281831741,0.004157543182,0,4.81676e-08,1.15136e-05,0.3748137113,-3.281296566,0.3664608987,0.02826915917
9,0.180000,0.3562600538,-0.04190012254,3.439188004e-05,-0.0002698302269,-0.0002698302269,0.00304800272,0,3.20182e-08,1.04227e-05,0.3440187648,-2.697810784,0.3529345242,0.02858304642
10,0.200000,0.3442467153,-0.06407819595,3.176927567e-05,-0.0002256631851,-0.0002256631851,0.002301931381,0,2.22068e-08,9.55483e-06,0.3178861793,-2.256097555,0.3368062767,0.02860394858
11,0.220000,0.3191703781,-0.01129520778,2.950429916e-05,-0.000191450119,-0.000191450119,0.001782119274,0,1.5927e-08,8.83466e-06,0.2952540945,-1.914321721,0.3188392603,0.02904524826
12,0.240000,0.3008965887,-0.009206516668,2.753734589e-05,-0.0001645088196,-0.0001645088196,0.00140863657,0,1.1727e-08,8.21238e-06,0.2754749572,-1.64507772,0.2998669599,0.02898200393
13,0.260000,0.2837277092,-0.01420812123,2.586841583e-05,-0.0001428723335,-0.0001428723335,0.001133441925,0,8.90784e-09,7.73536e-06,0.258506407,-1.428634554,0.2807589468,0.0292814089
14,0.280000,0.2684925012,-0.02130038664,2.437829971e-05,-0.000125169754,-0.000125169754,0.0009264945984,0,6.9189e-09,7.33291e-06,0.2438035151,-1.25146462,0.2623848341,0.029057569
15,0.300000,0.2511430867,-0.01328489278,2.300739288e-05,-0.0001106262207,-0.0001106262207,0.000767827034,0,5.42754e-09,6.92367e-06,0.2302752296,-1.105963305,0.2455780804,0.02915933758
16,0.320000,0.241239097,-0.02203974221,2.181529999e-05,-9.852647781e-05,-9.852647781e-05,0.0006439089775,0,4.3396e-09,6.58373e-06,0.218080149,-0.9850885421,0.231101253,0.02961296067
17,0.340000,0.23056411,-0.01070479769,2.074241638e-05,-8.827447891e-05,-8.827447891e-05,0.0005457997322,0,3.52882e-09,6.29873e-06,0.2073689187,-0.8828530908,0.2196142948,0.02970220444
18,0.360000,0.2192902938,0.01372041367,1.978874207e-05,-7.957220078e-05,-7.957220078e-05,0.0004670619965,0,2.91083e-09,6.05419e-06,0.1978967497,-0.795411095,0.2116472066,0.03000892626
19,0.380000,0.2153277285,0.02448536269,1.895427704e-05,-7.206201553e-05,-7.206201553e-05,0.0004031658173,0,2.44878e-09,5.88315e-06,0.1893719807,-0.7207729518,0.2075783601,0.03003800688
20,0.400000,0.2170513496,0.02590117045,1.811981201e-05,-6.556510925e-05,-6.556510925e-05,0.0003508329391,0,2.05824e-09,5.66561e-06,0.1814634148,-0.6556097567,0.2076194013,0.03004349451
21,0.420000,0.2239472456,0.02104417328,1.740455627e-05,-5.996227264e-05,-5.996227264e-05,0.0003075003624,0,1.75643e-09,5.49906e-06,0.173806007,-0.5997045785,0.2118074121,0.03079182238
22,0.440000,0.2294527404,0.03716891073,1.674890518e-05,-5.507469177e-05,-5.507469177e-05,0.0002713799477,0,1.5121e-09,5.34722e-06,0.1672456572,-0.5503722131,0.220004667,0.03106919191
23,0.460000,0.2418179177,0.03981938586,1.609325409e-05,-5.078315735e-05,-5.078315735e-05,0.0002408623695,0,1.29733e-09,5.15215e-06,0.1610000003,-0.5074999928,0.2319059867,0.0313788458
24,0.480000,0.2566986941,0.04413612653,1.555681229e-05,-4.696846008e-05,-4.696846008e-05,0.0002149343491,0,1.13766e-09,5.04628e-06,0.1555108204,-0.4695520848,0.247053342,0.03189564541
25,0.500000,0.2738136128,0.0495154541,1.502037048e-05,-4.357099533e-05,-4.357099533e-05,0.0001928210258,0,9.97812e-10,4.91716e-06,0.1503797472,-0.4354430437,0.2648570434,0.03125747779
26,0.520000,0.2946675047,0.0477936957,1.454353333e-05,-4.053115845e-05,-4.053115845e-05,0.0001737475395,0,8.84128e-10,4.81887e-06,0.1456211815,-0.4052953124,0.2846225509,0.0315269407
27,0.540000,0.3142005168,0.05187228788,1.412630081e-05,-3.778934479e-05,-3.778934479e-05,0.0001572370529,0,7.93143e-10,4.76069e-06,0.1412487207,-0.3776867986,0.3055816905,0.03219688062
28,0.560000,0.336685326,0.04960581195,1.37090683e-05,-3.534555435e-05,-3.534555435e-05,0.0001428723335,0,7.09338e-10,4.6694e-06,0.1372750644,-0.3532133698,0.3269268672,0.03223697147
29,0.580000,0.3584827743,0.04491774086,1.335144043e-05,-3.31401825e-05,-3.31401825e-05,0.0001304149628,0,6.42956e-10,4.62074e-06,0.1332644625,-0.3310950398,0.3478467318,0.0317392651
30,0.600000,0.3770471253,0.04417888913,1.299381256e-05,-3.111362457e-05,-3.111362457e-05,0.0001193881035,0,5.83249e-10,4.56309e-06,0.1296680495,-0.3112033159,0.3675616969,0.03165203955
31,0.620000,0.3924194574,0.04538403358,1.257658005e-05,-2.926588058e-05,-2.926588058e-05,0.000109732151,0,5.23563e-10,4.44199e-06,0.1260416666,-0.2927083373,0.3853577078,0.03194305986
32,0.640000,0.4062031023,0.04600223713,1.227855682e-05,-2.759695053e-05,-2.759695053e-05,0.0001012086868,0,4.81105e-10,4.41071e-06,0.1228437014,-0.2760062665,0.4006167588,0.03152832304
33,0.660000,0.4153540544,0.04732562695,1.19805336e-05,-2.610683441e-05,-2.610683441e-05,9.35792923e-05,0,4.39563e-10,4.34278e-06,0.1196222454,-0.2607555091,0.4128427931,0.03227813724
