k,t,angle,bias,p00,p01,p10,p11,sym_resid,det,lambda_min,k0,k1,true_angle,true_bias
0,0.000000,0.3397630602,-0.0002105459571,9.999424219e-05,-5.960464478e-08,-5.960464478e-08,0.2499996349,0,2.49985e-05,9.99942e-05,0.9999000058,-0.0006249323487,0.3321631364,0.02983353282
1,0.002500,0.3354932368,0.04072818905,5.039572716e-05,-0.0003100782633,-0.0003100782633,0.248061493,0,1.24051e-05,5.0008e-05,0.5039177984,-3.100753993,0.3346784665,0.02966475445
2,0.005000,0.3368004784,0.0642067194,3.486126661e-05,-0.0006059482694,-0.0006059482694,0.2424248457,0,8.08406e-06,3.33465e-05,0.3486047089,-6.059403054,0.337143824,0.02957455864
3,0.007500,0.3426332325,-0.04411005974,2.828240395e-05,-0.0008692741394,-0.0008692741394,0.231889382,0,5.80275e-06,2.50234e-05,0.2827829421,-8.692583092,0.3395580833,0.02962190391
4,0.010000,0.3483896032,-0.18582277,2.542883158e-05,-0.001080527902,-0.001080527902,0.2162328437,0,4.33101e-06,2.00289e-05,0.254291907,-10.80510028,0.3419201442,0.02936617664
5,0.012500,0.3447582424,0.1260549203,2.436339855e-05,-0.001226179302,-0.001226179302,0.1963554472,0,3.28037e-06,1.67056e-05,0.2436179221,-12.26159482,0.3442289326,0.02933658268
6,0.015000,0.3493528515,-0.01593706757,2.409517765e-05,-0.001303389668,-0.001303389668,0.173975803,0,2.49315e-06,1.43297e-05,0.2409229726,-13.03365004,0.3464834012,0.02947693825
7,0.017500,0.3533828855,-0.1162269115,2.408027649e-05,-0.001319751143,-0.001319751143,0.1510345414,0,1.89521e-06,1.25472e-05,0.2407941595,-13.19729622,0.3486825305,0.02958644599
8,0.020000,0.3507523984,0.1545908004,2.404302359e-05,-0.001289285719,-0.001289285719,0.1291513667,0,1.44293e-06,1.11713e-05,0.2404074669,-12.8926429,0.3508253296,0.02938074165
9,0.022500,0.3540214375,0.08344301581,2.384930849e-05,-0.001227647066,-0.001227647066,0.1093600765,0,1.10104e-06,1.00668e-05,0.2385112867,-12.27623965,0.352910837,0.02949080333
10,0.025000,0.3584875241,-0.05122184008,2.348423004e-05,-0.001148499548,-0.001148499548,0.09212081879,0,8.44335e-07,9.1641e-06,0.234864898,-11.48483639,0.3549381213,0.02949727915
11,0.027500,0.3592719436,-0.004011496902,2.297013998e-05,-0.001062057912,-0.001062057912,0.07747742534,0,6.517e-07,8.40991e-06,0.2297274023,-10.62037303,0.3569062817,0.02965238794
12,0.030000,0.3615862504,-0.01507488638,2.235174179e-05,-0.0009751021862,-0.0009751021862,0.0652327612,0,5.07242e-07,7.77413e-06,0.2234885767,-9.750882268,0.3588144492,0.02962911348
13,0.032500,0.361791715,0.06277814507,2.166628838e-05,-0.0008915960789,-0.0008915960789,0.05508495867,0,3.98543e-07,7.23317e-06,0.2166452631,-8.915839851,0.3606617872,0.0297340549
