k,t,angle,bias,p00,p01,p10,p11,sym_resid,det,lambda_min,k0,k1,true_angle,true_bias
0,0.000000,0.342250064,-0.003006651998,9.999424219e-05,-9.983778e-07,-9.983778e-07,0.2499004081,0,2.49886e-05,9.99942e-05,0.9999000505,-0.009995006025,0.3321631364,0.0293341313
1,0.040000,0.3739550039,-0.07576830685,8.334219456e-05,-0.001665450633,-0.001665450633,0.08366531879,0,4.19913e-06,5.01697e-05,0.8334057406,-16,0.3658309542,0.02866501781
2,0.080000,0.3714276329,0.1609488055,7.782131433e-05,-0.001111842692,-0.001111842692,0.02794025838,0,9.38153e-07,3.3524e-05,0.7781670913,-11.11823816,0.3833473249,0.02831023456
3,0.120000,0.3778933883,-0.06073239446,6.793439388e-05,-0.0007149726152,-0.0007149726152,0.01200082898,0,3.04083e-07,2.52487e-05,0.679306142,-7.149618901,0.3831890168,0.02850561566
4,0.160000,0.3684943095,-0.1514994949,5.91352582e-05,-0.0004883855581,-0.0004883855581,0.00616504252,0,1.26051e-07,2.03181e-05,0.5913159996,-4.883746423,0.3664608987,0.02748870657
5,0.200000,0.3303268552,-0.0777676627,5.201995373e-05,-0.0003526359797,-0.0003526359797,0.003573574126,0,6.1545e-08,1.70554e-05,0.5202144757,-3.526327081,0.3368062767,0.02737633073
6,0.240000,0.3075761497,-0.1406347826,4.632771015e-05,-0.0002660080791,-0.0002660080791,0.002255678177,0,3.37401e-08,1.47514e-05,0.4632488191,-2.660001598,0.2998669599,0.027943753
7,0.280000,0.2709758207,-0.09440013766,4.171580076e-05,-0.0002076253295,-0.0002076253295,0.001516386867,0,2.0149e-08,1.30409e-05,0.4171696529,-2.076251686,0.2623848341,0.02838778395
8,0.320000,0.2401476875,-0.04970769584,3.793090582e-05,-0.0001665279269,-0.0001665279269,0.001069992781,0,1.28542e-08,1.17262e-05,0.3793007806,-1.665233076,0.231101253,0.02757096659
9,0.360000,0.2204875872,-0.007688067853,3.477931023e-05,-0.0001365318894,-0.0001365318894,0.0007845535874,0,8.64528e-09,1.06911e-05,0.3477817178,-1.365275279,0.2116472066,0.02801721334
10,0.400000,0.2249682173,-0.003627344966,3.211945295e-05,-0.0001139938831,-0.0001139938831,0.0005934983492,0,6.06824e-09,9.85483e-06,0.3211612403,-1.139894798,0.2076194013,0.02804911661
11,0.440000,0.2374422699,0.02639962733,2.984702587e-05,-9.663403034e-05,-9.663403034e-05,0.0004607588053,0,4.41414e-09,9.16868e-06,0.2984528542,-0.966286853,0.220004667,0.02867555175
12,0.480000,0.2667669877,0.0366967544,2.788752317e-05,-8.298456669e-05,-8.298456669e-05,0.0003656297922,0,3.31007e-09,8.59942e-06,0.278891094,-0.8297963813,0.247053342,0.0285884539
13,0.520000,0.3022125065,0.05293504894,2.618134022e-05,-7.205456495e-05,-7.205456495e-05,0.0002956464887,0,2.54856e-09,8.1241e-06,0.2618379816,-0.7205631658,0.2846225509,0.02901421962
14,0.560000,0.3405735567,0.05959069729,2.468377352e-05,-6.318092346e-05,-6.318092346e-05,0.0002430155873,0,2.00671e-09,7.7187e-06,0.2468436137,-0.6317827255,0.3269268672,0.02870000534
15,0.600000,0.3690761551,0.07664877176,2.335757017e-05,-5.587935448e-05,-5.587935448e-05,0.0002026334405,0,1.61052e-09,7.36662e-06,0.233597897,-0.5587849021,0.3675616969,0.02884627098
16,0.640000,0.3987807333,0.06971558928,2.218782902e-05,-4.979223013e-05,-4.979223013e-05,0.0001711249352,0,1.31762e-09,7.07496e-06,0.2218679339,-0.4979419112,0.4006167588,0.02949013406
17,0.680000,0.4179580733,0.05751346797,2.113729715e-05,-4.467368126e-05,-4.467368126e-05,0.0001461729407,0,1.09396e-09,6.81622e-06,0.2113520205,-0.4467360005,0.4216818414,0.02961868696
18,0.720000,0.4192180634,0.05211795121,2.019107342e-05,-4.032999277e-05,-4.032999277e-05,0.0001261532307,0,9.20661e-10,6.5876e-06,0.2019265071,-0.4032584131,0.4285672788,0.03005480026
19,0.760000,0.4112898856,0.04129137844,1.934170723e-05,-3.660470247e-05,-3.660470247e-05,0.0001099035144,0,7.85817e-10,6.39663e-06,0.1934378967,-0.3660236746,0.4216136213,0.03009826961
20,0.800000,0.3909341842,0.03726961464,1.857429743e-05,-3.339350224e-05,-3.339350224e-05,9.656697512e-05,0,6.78538e-10,6.2302e-06,0.1857064888,-0.3339197934,0.4035393989,0.03010837344
21,0.840000,0.3632812425,0.03883778304,1.786649227e-05,-3.059953451e-05,-3.059953451e-05,8.553266525e-05,0,5.91837e-10,6.0815e-06,0.178680703,-0.3060212955,0.3788592744,0.03116901201
22,0.880000,0.3428495899,0.03465662152,1.722574234e-05,-2.816319466e-05,-2.816319466e-05,7.631629705e-05,0,5.21439e-10,5.95327e-06,0.1722479165,-0.2816527933,0.352982255,0.03156361491
23,0.920000,0.324326776,0.03466290981,1.663714647e-05,-2.603232861e-05,-2.603232861e-05,6.853789091e-05,0,4.62593e-10,5.83015e-06,0.166387178,-0.2602943927,0.3311570568,0.03200387479
24,0.960000,0.3162385449,0.03508919477,1.610070467e-05,-2.414733171e-05,-2.414733171e-05,6.194412708e-05,0,4.1425e-10,5.7283e-06,0.1609676778,-0.2414827794,0.3174588739,0.03273708294
25,1.000000,0.3182659149,0.0341988802,1.560896635e-05,-2.247840166e-05,-2.247840166e-05,5.630403757e-05,0,3.73569e-10,5.63653e-06,0.1560613662,-0.2247862145,0.3140038261,0.03183692079
26,1.040000,0.3286685348,0.03562623262,1.515448093e-05,-2.098828554e-05,-2.098828554e-05,5.146861076e-05,0,3.39472e-10,5.5593e-06,0.1515266448,-0.2098742053,0.3205357065,0.03222034203
27,1.080000,0.3433140442,0.03722123802,1.472979784e-05,-1.965463161e-05,-1.965463161e-05,4.730373621e-05,0,3.1047e-10,5.4909e-06,0.1473222822,-0.1965567619,0.3344618335,0.0331701233
28,1.120000,0.3613798767,0.03567606956,1.434236765e-05,-1.846253872e-05,-1.846253872e-05,4.369020462e-05,0,2.85756e-10,5.43262e-06,0.1434041709,-0.1846320778,0.3513330729,0.03322916348
29,1.160000,0.3707020655,0.03752574325,1.39772892e-05,-1.739710569e-05,-1.739710569e-05,4.053115845e-05,0,2.63856e-10,5.36961e-06,0.139780812,-0.1739409119,0.3656821658,0.03252764352
30,1.200000,0.3714795634,0.03896376491,1.363456249e-05,-1.64359808e-05,-1.64359808e-05,3.775954247e-05,0,2.44693e-10,5.30968e-06,0.1363490149,-0.1643394902,0.3720689778,0.03240663112
31,1.240000,0.3569149598,0.03936007619,1.331418753e-05,-1.556426287e-05,-1.556426287e-05,3.532320261e-05,0,2.28053e-10,5.25707e-06,0.1331697255,-0.155644536,0.3661430006,0.03282053913
32,1.280000,0.3327019438,0.03509120643,1.302361488e-05,-1.477450132e-05,-1.477450132e-05,3.316998482e-05,0,2.13707e-10,5.21511e-06,0.1302488372,-0.1477449462,0.3455293204,0.03223635584
33,1.320000,0.2909214869,0.03403200209,1.27479434e-05,-1.405179501e-05,-1.405179501e-05,3.126263618e-05,0,2.01081e-10,5.17819e-06,0.1274783835,-0.1405447572,0.3103751029,0.03329909639
34,1.360000,0.2410477251,0.03248829395,1.249462366e-05,-1.339614391e-05,-1.339614391e-05,2.957135439e-05,0,1.90026e-10,5.14714e-06,0.1249185055,-0.1339809597,0.2634539257,0.03309331976
35,1.400000,0.1903311163,0.0275600031,1.225620508e-05,-1.280009747e-05,-1.280009747e-05,2.805888653e-05,0,1.80053e-10,5.11515e-06,0.1225730553,-0.1279989555,0.209804215,0.03207698433
36,1.440000,0.1395749822,0.02620044351,1.204013824e-05,-1.225620508e-05,-1.225620508e-05,2.671778202e-05,0,1.71471e-10,5.09355e-06,0.1203879714,-0.1225506291,0.1559614473,0.03146465268
37,1.480000,0.09684114158,0.02714838088,1.183897257e-05,-1.17495656e-05,-1.17495656e-05,2.551078796e-05,0,1.63969e-10,5.08143e-06,0.1183657348,-0.1175118238,0.1089166808,0.03112835309
38,1.520000,0.07263277471,0.02615765482,1.164525747e-05,-1.12876296e-05,-1.12876296e-05,2.44230032e-05,0,1.57002e-10,5.06385e-06,0.1164505333,-0.1128957942,0.07498328177,0.03099913987
39,1.560000,0.06592237204,0.02751242369,1.146644354e-05,-1.086294651e-05,-1.086294651e-05,2.344697714e-05,0,1.5085e-10,5.05159e-06,0.1146437973,-0.1086411625,0.05877054866,0.03060301958
40,1.600000,0.07811934501,0.02878569812,1.12876296e-05,-1.047551632e-05,-1.047551632e-05,2.256780863e-05,0,1.45001e-10,5.03036e-06,0.1128882989,-0.1047587544,0.06244426072,0.03030560853
41,1.640000,0.1077941582,0.03036411852,1.112371683e-05,-1.011788845e-05,-1.011788845e-05,2.176314592e-05,0,1.39715e-10,5.01229e-06,0.111243546,-0.1011786535,0.08540333006,0.03075513
42,1.680000,0.1494098678,0.03360781819,1.097470522e-05,-9.790062904e-06,-9.790062904e-06,2.104043961e-05,0,1.35067e-10,4.99962e-06,0.1097107977,-0.097903952,0.1244278268,0.02980026353
43,1.720000,0.1997501776,0.03606556356,1.083314419e-05,-9.4845891e-06,-9.4845891e-06,2.039968967e-05,0,1.31035e-10,4.99393e-06,0.108350493,-0.09486480802,0.1742699223,0.0293704601
44,1.760000,0.2505933866,0.03887441754,1.069903374e-05,-9.208917618e-06,-9.208917618e-06,1.981854439e-05,0,1.27235e-10,4.98282e-06,0.1069860309,-0.09208250046,0.2285807698,0.02991283106
45,1.800000,0.2991555259,0.03972774744,1.057237387e-05,-8.948147297e-06,-8.948147297e-06,1.928210258e-05,0,1.23788e-10,4.97565e-06,0.1057365611,-0.08947964758,0.28100708,0.0308410996
46,1.840000,0.3379718959,0.04164641351,1.045316458e-05,-8.709728718e-06,-8.709728718e-06,1.879036427e-05,0,1.20559e-10,4.96585e-06,0.1045433283,-0.08713056147,0.3262617657,0.03122059598
47,1.880000,0.3653301969,0.04255681485,1.034885645e-05,-8.4862113e-06,-8.4862113e-06,1.834332943e-05,0,1.17817e-10,4.9656e-06,0.1034667045,-0.084897466,0.3609787502,0.03152281583
48,1.920000,0.3798931539,0.04472628981,1.024454832e-05,-8.277595043e-06,-8.277595043e-06,1.794844866e-05,0,1.15355e-10,4.96654e-06,0.1024475023,-0.08278721571,0.3842017919,0.0313925203
49,1.960000,0.3892393187,0.04386687279,1.014024019e-05,-8.083879948e-06,-8.083879948e-06,1.757591963e-05,0,1.12875e-10,4.96025e-06,0.1014259905,-0.08087299764,0.397423783,0.03093038025
50,2.000000,0.3931715637,0.04355633259,1.004338264e-05,-7.905066013e-06,-7.905066013e-06,1.72406435e-05,0,1.10664e-10,4.95638e-06,0.1004624367,-0.07908317447,0.4041744204,0.03052567624
51,2.040000,0.3980458006,0.04433837533,9.953975677e-06,-7.748603821e-06,-7.748603821e-06,1.694262028e-05,0,1.08606e-10,4.94823e-06,0.09955722839,-0.07748557627,0.409235758,0.03034695021
52,2.080000,0.4111345038,0.04290545732,9.879469872e-06,-7.599592209e-06,-7.599592209e-06,1.66669488e-05,0,1.06907e-10,4.95027e-06,0.09877123684,-0.07600886375,0.4176322419,0.03040145952
53,2.120000,0.4314468354,0.0431689918,9.804964066e-06,-7.458031178e-06,-7.458031178e-06,1.640617847e-05,0,1.0524e-10,4.94982e-06,0.09804448485,-0.07459176332,0.4335823278,0.03032584618
54,2.160000,0.4629399925,0.04365594685,9.73790884e-06,-7.331371307e-06,-7.331371307e-06,1.61677599e-05,0,1.03691e-10,4.94754e-06,0.09737727046,-0.07330194861,0.4596054131,0.02963704532
55,2.200000,0.5029078797,0.04422850162,9.670853615e-06,-7.212162018e-06,-7.212162018e-06,1.595914364e-05,0,1.02323e-10,4.94728e-06,0.09670906514,-0.07214482874,0.4959493963,0.0298873685
56,2.240000,0.5483754948,0.0455211848,9.61124897e-06,-7.107853889e-06,-7.107853889e-06,1.575797796e-05,0,1.00932e-10,4.94077e-06,0.09610074759,-0.07104855776,0.5404458427,0.03059080179
57,2.280000,0.5956048742,0.04568915069,9.559094906e-06,-7.010996342e-06,-7.010996342e-06,1.557171345e-05,0,9.96974e-11,4.93704e-06,0.09555256367,-0.07008086145,0.588821998,0.03240584106
58,2.320000,0.6382050365,0.04571693391,9.506940842e-06,-6.914138794e-06,-6.914138794e-06,1.540035009e-05,0,9.86049e-11,4.93777e-06,0.095064722,-0.06917475909,0.6354157714,0.03140374687
59,2.360000,0.6701302454,0.04603622109,9.454786777e-06,-6.824731827e-06,-6.824731827e-06,1.525133848e-05,0,9.76212e-11,4.93842e-06,0.09451527894,-0.06827227771,0.6741662884,0.03100312819
60,2.400000,0.6899664104,0.04446416348,9.410083294e-06,-6.74277544e-06,-6.74277544e-06,1.510977745e-05,0,9.67192e-11,4.93964e-06,0.09408747405,-0.0674271062,0.6997019582,0.0312756003
61,2.440000,0.6926013455,0.04203225672,9.35792923e-06,-6.668269634e-06,-6.668269634e-06,1.4975667e-05,0,9.56754e-11,4.93108e-06,0.09359805286,-0.06665316224,0.7083293667,0.0314861173
62,2.480000,0.6760582849,0.04045473784,9.320676327e-06,-6.593763828e-06,-6.593763828e-06,1.485645771e-05,0,9.49945e-11,4.93742e-06,0.0931693837,-0.06594149023,0.6987430902,0.03108663598
63,2.520000,0.6448064372,0.03881688416,9.283423424e-06,-6.526708603e-06,-6.526708603e-06,1.4744699e-05,0,9.42834e-11,4.93915e-06,0.09280162305,-0.0652923286,0.6723257565,0.0299895125
64,2.560000,0.6019304693,0.03766959906,9.246170521e-06,-6.467103958e-06,-6.467103958e-06,1.464039087e-05,0,9.35441e-11,4.9363e-06,0.09243356436,-0.06464263797,0.6329805453,0.0296910481
65,2.600000,0.5567850396,0.03528464586,9.216368198e-06,-6.414949894e-06,-6.414949894e-06,1.454353333e-05,0,9.2887e-11,4.934e-06,0.0921266228,-0.0641233772,0.5865217577,0.0296049178
