k,t,angle,bias,p00,p01,p10,p11,sym_resid,det,lambda_min,k0,k1,true_angle,true_bias
26,0.520000,0.2946612611,0.04776953161,1.456029713e-05,-4.047807306e-05,-4.047807306e-05,0.0001742290333,0,8.98352e-10,4.88489e-06,0.1456012474,-0.4047838748,0.2846225509,0.0315269407
27,0.540000,0.3141971305,0.05184516031,1.411046833e-05,-3.776140511e-05,-3.776140511e-05,0.0001578070223,0,8.00807e-10,4.79164e-06,0.1411041962,-0.3776137084,0.3055816905,0.03219688062
28,0.560000,0.3366805986,0.04957796726,1.369230449e-05,-3.531668335e-05,-3.531668335e-05,0.0001435363665,0,7.18076e-10,4.70806e-06,0.1369204549,-0.3531686068,0.3269268672,0.03223697147
29,0.580000,0.3584755659,0.044888529,1.330114901e-05,-3.310944885e-05,-3.310944885e-05,0.0001310715452,0,6.47167e-10,4.63117e-06,0.1330108922,-0.3310940117,0.3478467318,0.0317392651
30,0.600000,0.3770406172,0.0441478435,1.293513924e-05,-3.111083061e-05,-3.111083061e-05,0.0001201340929,0,5.86067e-10,4.56053e-06,0.1293552909,-0.3111078739,0.3675616969,0.03165203955
31,0.620000,0.3924147636,0.04535225406,1.259334385e-05,-2.929475158e-05,-2.929475158e-05,0.0001104967669,0,5.33341e-10,4.49725e-06,0.125932076,-0.2929487824,0.3853577078,0.03194305986
32,0.640000,0.4061998054,0.04597021826,1.227296889e-05,-2.763979137e-05,-2.763979137e-05,0.0001019677147,0,4.87489e-10,4.43975e-06,0.1227256013,-0.2764001787,0.4006167588,0.03152832304
33,0.660000,0.4153512605,0.04729558062,1.197122037e-05,-2.612825483e-05,-2.612825483e-05,9.439233691e-05,0,4.47306e-10,4.38633e-06,0.1197120743,-0.2612809092,0.4128427931,0.03227813724
34,0.680000,0.42343878,0.04338394571,1.168716699e-05,-2.474337816e-05,-2.474337816e-05,8.763931692e-05,0,4.12021e-10,4.33756e-06,0.1168739311,-0.247433871,0.4216818414,0.03213097434
35,0.700000,0.4270534106,0.04377096612,1.141894609e-05,-2.347212285e-05,-2.347212285e-05,8.160062134e-05,0,3.80853e-10,4.2924e-06,0.1141928462,-0.2347214818,0.4269355153,0.03141065981
36,0.720000,0.4266926832,0.04311729874,1.116655767e-05,-2.230238169e-05,-2.230238169e-05,7.618125528e-05,0,3.53286e-10,4.25153e-06,0.111664502,-0.2230228931,0.4285672788,0.03097601909
37,0.740000,0.4222002216,0.04291517287,1.092813909e-05,-2.122391015e-05,-2.122391015e-05,7.130391896e-05,0,3.28765e-10,4.21396e-06,0.1092842687,-0.2122391015,0.4267012492,0.03073656252
38,0.760000,0.4147418402,0.0445612492,1.070275903e-05,-2.0227395e-05,-2.0227395e-05,6.690155715e-05,0,3.06884e-10,4.17957e-06,0.1070249416,-0.2022737265,0.4216136213,0.03064353812
39,0.780000,0.4044763669,0.04581864458,1.048855484e-05,-1.930538565e-05,-1.930538565e-05,6.291735917e-05,0,2.87214e-10,4.14696e-06,0.1048884587,-0.1930541247,0.4137171447,0.03036178192
40,0.800000,0.3938020132,0.04483132251,1.028645784e-05,-1.84495002e-05,-1.84495002e-05,5.930289626e-05,0,2.69633e-10,4.11835e-06,0.1028691744,-0.1844994426,0.4035393989,0.03014982369
