k,t,angle,bias,p00,p01,p10,p11,sym_resid,det,lambda_min,k0,k1,true_angle,true_bias
30,0.600000,0.3770427555,0.04414321482,1.29416585e-05,-3.110617399e-05,-3.110617399e-05,0.0001201331615,0,5.87128e-10,4.56888e-06,0.1294026077,-0.3110202998,0.3675616969,0.03165203955
31,0.620000,0.3924164325,0.04534779489,1.259893179e-05,-2.928078175e-05,-2.928078175e-05,0.0001104995608,0,5.34812e-10,4.50981e-06,0.1260011718,-0.2928306311,0.3853577078,0.03194305986
32,0.640000,0.4062011838,0.04596592486,1.227855682e-05,-2.762675285e-05,-2.762675285e-05,0.000101968646,0,4.8879e-10,4.45183e-06,0.1228024289,-0.276256457,0.4006167588,0.03152832304
33,0.660000,0.4153523371,0.04729100317,1.197308302e-05,-2.611428499e-05,-2.611428499e-05,9.439885616e-05,0,4.48289e-10,4.39603e-06,0.1197534129,-0.2611490041,0.4128427931,0.03227813724
34,0.680000,0.4234395549,0.04338225722,1.168251038e-05,-2.4728477e-05,-2.4728477e-05,8.76635313e-05,0,4.12633e-10,4.34338e-06,0.116857484,-0.2472693771,0.4216818414,0.03213097434
35,0.700000,0.4270542562,0.04376922548,1.141428947e-05,-2.345442772e-05,-2.345442772e-05,8.162111044e-05,0,3.81537e-10,4.2997e-06,0.1141178831,-0.2345719784,0.4269355153,0.03141065981
36,0.720000,0.4266932681,0.04311622679,1.116096973e-05,-2.228468657e-05,-2.228468657e-05,7.621943951e-05,0,3.54076e-10,4.25978e-06,0.1115965024,-0.2228620574,0.4285672788,0.03097601909
37,0.740000,0.422200717,0.04291435331,1.092255116e-05,-2.121180296e-05,-2.121180296e-05,7.13467598e-05,0,3.29348e-10,4.21973e-06,0.1092381179,-0.2121051252,0.4267012492,0.03073656252
38,0.760000,0.4147426113,0.04455989599,1.069903374e-05,-2.022087574e-05,-2.022087574e-05,6.695836782e-05,0,3.07506e-10,4.18535e-06,0.1069860309,-0.2021956071,0.4216136213,0.03064353812
39,0.780000,0.4044773877,0.04581715912,1.04829669e-05,-1.930445433e-05,-1.930445433e-05,6.296485662e-05,0,2.87397e-10,4.14709e-06,0.1048419401,-0.1930105388,0.4137171447,0.03036178192
40,0.800000,0.3938026279,0.04483006895,1.028180122e-05,-1.844763756e-05,-1.844763756e-05,5.935132504e-05,0,2.69923e-10,4.12015e-06,0.1028074846,-0.1844919771,0.4035393989,0.03014982369
41,0.820000,0.3820958138,0.04365149885,1.009553671e-05,-1.765042543e-05,-1.765042543e-05,5.606561899e-05,0,2.54475e-10,4.10042e-06,0.1009444669,-0.1765021086,0.3916958964,0.03046602652
42,0.840000,0.3683739826,0.04391057789,9.909272194e-06,-1.691281796e-05,-1.691281796e-05,5.307048559e-05,0,2.39846e-10,4.07153e-06,0.09907370061,-0.1691502184,0.3788592744,0.02978917711
43,0.860000,0.3571241274,0.04059673101,9.73045826e-06,-1.621991396e-05,-1.621991396e-05,5.033612251e-05,0,2.26708e-10,4.04694e-06,0.09731656313,-0.1622166932,0.3657260166,0.02948360334
44,0.880000,0.3454674482,0.0387904495,9.566545486e-06,-1.557916403e-05,-1.557916403e-05,4.783272743e-05,0,2.14884e-10,4.02606e-06,0.09567444026,-0.1557741538,0.352982255,0.02986546067
45,0.900000,0.3346844986,0.03883232176,9.410083294e-06,-1.4975667e-05,-1.4975667e-05,4.553794861e-05,0,2.04245e-10,4.00965e-06,0.09408747405,-0.1497705206,0.3412702428,0.03052018879
46,0.920000,0.3251572326,0.03864149004,9.261071682e-06,-1.441687346e-05,-1.441687346e-05,4.34294343e-05,0,1.94357e-10,3.99094e-06,0.09261763096,-0.1441319659,0.3311570568,0.0307868764
47,0.940000,0.3192356452,0.03658688813,9.119510651e-06,-1.389533281e-05,-1.389533281e-05,4.148483276e-05,0,1.85241e-10,3.97241e-06,0.09120454639,-0.1389396712,0.3231069838,0.03099892125
48,0.960000,0.3120995983,0.03878305852,8.9854002e-06,-1.339614391e-05,-1.339614391e-05,3.968924284e-05,0,1.77167e-10,3.96238e-06,0.08984877914,-0.1339933574,0.3174588739,0.03090513154
49,0.980000,0.3118476346,0.03648015112,8.85874033e-06,-1.293420792e-05,-1.293420792e-05,3.804266453e-05,0,1.69716e-10,3.95149e-06,0.08855086565,-0.1293630302,0.3144095184,0.03057669232
50,1.000000,0.3131966814,0.03519648314,8.73953104e-06,-1.249462366e-05,-1.249462366e-05,3.650784492e-05,0,1.62946e-10,3.94521e-06,0.08737336099,-0.1249745041,0.3140038261,0.03028886652
51,1.020000,0.3165081441,0.03386364132,8.627772331e-06,-1.208484173e-05,-1.208484173e-05,3.509223461e-05,0,1.56724e-10,3.93975e-06,0.08625502139,-0.1208387241,0.3161322663,0.03016083128
52,1.040000,0.322376743,0.03375717252,8.508563042e-06,-1.169741154e-05,-1.169741154e-05,3.377348185e-05,0,1.50534e-10,3.92451e-06,0.08507157117,-0.116973415,0.3205357065,0.03019771832
53,1.060000,0.3297632933,0.03291063756,8.396804333e-06,-1.133978367e-05,-1.133978367e-05,3.255903721e-05,0,1.44801e-10,3.90855e-06,0.08394758403,-0.1133633628,0.3268174359,0.03014259477
54,1.080000,0.336704202,0.0342502147,8.285045624e-06,-1.099705696e-05,-1.099705696e-05,3.141909838e-05,0,1.39373e-10,3.89177e-06,0.08288349956,-0.1099419221,0.3344618335,0.02965388216
55,1.100000,0.34543062,0.0338961035,8.188188076e-06,-1.066923141e-05,-1.066923141e-05,3.036856651e-05,0,1.34831e-10,3.88926e-06,0.08187974244,-0.1067104489,0.3428588336,0.02982923052
56,1.120000,0.3528789803,0.03440428525,8.091330528e-06,-1.036375761e-05,-1.036375761e-05,2.937763929e-05,0,1.30297e-10,3.87904e-06,0.08093672991,-0.1036702245,0.3513330729,0.03032497612
57,1.140000,0.3600583747,0.03472033888,8.001923561e-06,-1.007318497e-05,-1.007318497e-05,2.84537673e-05,0,1.26216e-10,3.8738e-06,0.07999177277,-0.1007608473,0.3591763867,0.03160674584
58,1.160000,0.3663930148,0.03385490179,7.919967175e-06,-9.797513485e-06,-9.797513485e-06,2.758949995e-05,0,1.22517e-10,3.87259e-06,0.07917124033,-0.09796926379,0.3656821658,0.03089650139
59,1.180000,0.3696798831,0.03334792703,7.838010788e-06,-9.536743164e-06,-9.536743164e-06,2.678483725e-05,0,1.1899e-10,3.86914e-06,0.07834924012,-0.09537869692,0.3701799948,0.03061156435
60,1.200000,0.3708961532,0.03289735317,7.756054401e-06,-9.290874004e-06,-9.290874004e-06,2.602487803e-05,0,1.1553e-10,3.86135e-06,0.07758916914,-0.09291457385,0.3720689778,0.03080257437
61,1.220000,0.368847616,0.03270050138,7.674098015e-06,-9.059906006e-06,-9.059906006e-06,2.531707287e-05,0,1.12204e-10,3.85041e-06,0.07676434517,-0.09059017897,0.3708482129,0.03094977551
62,1.240000,0.3626723886,0.0321841836,7.599592209e-06,-8.836388588e-06,-8.836388588e-06,2.466142178e-05,0,1.09335e-10,3.84807e-06,0.07600165159,-0.08839322627,0.3661430006,0.0306656427
63,1.260000,0.3530387133,0.03112582862,7.532536983e-06,-8.627772331e-06,-8.627772331e-06,2.403557301e-05,0,1.0661e-10,3.84563e-06,0.07530140877,-0.08625559509,0.3577255667,0.0298882024
64,1.280000,0.3378721178,0.03162062168,7.458031178e-06,-8.434057236e-06,-8.434057236e-06,2.344697714e-05,0,1.03735e-10,3.83162e-06,0.07460010797,-0.08432156593,0.3455293204,0.02967549934
65,1.300000,0.3203967363,0.03158767521,7.398426533e-06,-8.247792721e-06,-8.247792721e-06,2.288073301e-05,0,1.01255e-10,3.82801e-06,0.07396163791,-0.08244790882,0.3296559659,0.02961293917
66,1.320000,0.3003544509,0.03090918064,7.331371307e-06,-8.061528206e-06,-8.061528206e-06,2.235919237e-05,0,9.89353e-11,3.82498e-06,0.07332228869,-0.08064070344,0.3103751029,0.02903545492
67,1.340000,0.2783093154,0.03028355539,7.271766663e-06,-7.890164852e-06,-7.890164852e-06,2.187490463e-05,0,9.68145e-11,3.8231e-06,0.07274611294,-0.07889464498,0.2881162954,0.02937736274
68,1.360000,0.2514084429,0.03114887327,7.212162018e-06,-7.726252079e-06,-7.726252079e-06,2.141296864e-05,0,9.47388e-11,3.8192e-06,0.07210507989,-0.07729001343,0.2634539257,0.02916132595
69,1.380000,0.2242692336,0.03166324645,7.160007954e-06,-7.569789886e-06,-7.569789886e-06,2.097338438e-05,0,9.28679e-11,3.81955e-06,0.07159161568,-0.0756726861,0.2370854813,0.02926540922
70,1.400000,0.1967030391,0.03119823337,7.100403309e-06,-7.420778275e-06,-7.420778275e-06,2.055615187e-05,0,9.0889e-11,3.81168e-06,0.07101328671,-0.07419712096,0.209804215,0.02886403231
71,1.420000,0.1709914505,0.0295818001,7.048249245e-06,-7.279217243e-06,-7.279217243e-06,2.016872168e-05,0,8.91672e-11,3.80932e-06,0.0704986155,-0.07278393209,0.1824673814,0.02892173525
72,1.440000,0.147505559,0.02736198902,7.003545761e-06,-7.145106792e-06,-7.145106792e-06,1.979619265e-05,0,8.7591e-11,3.81e-06,0.07004781067,-0.07143352181,0.1559614473,0.02916598937
73,1.460000,0.1240225583,0.02685147524,6.951391697e-06,-7.018446922e-06,-7.018446922e-06,1.944601536e-05,0,8.59183e-11,3.80256e-06,0.06953205913,-0.0701559782,0.1311658172,0.02920463483
74,1.480000,0.1046185717,0.02628355473,6.906688213e-06,-6.891787052e-06,-6.891787052e-06,1.911073923e-05,0,8.44952e-11,3.80375e-06,0.06908031553,-0.06894160062,0.1089166808,0.02957642774
75,1.500000,0.08809745312,0.02561039478,6.86943531e-06,-6.772577763e-06,-6.772577763e-06,1.880526543e-05,0,8.33137e-11,3.81051e-06,0.06869275868,-0.06772134453,0.08997258888,0.02954128058
76,1.520000,0.07441735268,0.02663712949,6.824731827e-06,-6.660819054e-06,-6.660819054e-06,1.85072422e-05,0,8.19405e-11,3.80671e-06,0.06824019551,-0.06657410413,0.07498328177,0.02968116373
77,1.540000,0.06459978968,0.02802675962,6.787478924e-06,-6.556510925e-06,-6.556510925e-06,1.822412014e-05,0,8.0708e-11,3.80597e-06,0.06785193086,-0.06556010991,0.06446315713,0.03008079682
78,1.560000,0.06203176081,0.02697708458,6.750226021e-06,-6.452202797e-06,-6.452202797e-06,1.795589924e-05,0,7.95755e-11,3.80773e-06,0.06752813607,-0.06454078108,0.05877054866,0.02955217698
79,1.580000,0.06397863477,0.02714230865,6.705522537e-06,-6.355345249e-06,-6.355345249e-06,1.77025795e-05,0,7.83146e-11,3.80023e-06,0.06707444042,-0.06352957338,0.0580937308,0.02985426702
80,1.600000,0.07030772418,0.02717788517,6.668269634e-06,-6.265938282e-06,-6.265938282e-06,1.74716115e-05,0,7.72434e-11,3.79709e-06,0.06668520719,-0.06265211105,0.06244426072,0.03017827175
81,1.620000,0.08157201111,0.02743632346,6.638467312e-06,-6.176531315e-06,-6.176531315e-06,1.72406435e-05,0,7.63019e-11,3.80008e-06,0.06636060029,-0.06176961958,0.07165793918,0.02965433533
82,1.640000,0.09564816207,0.02876381576,6.608664989e-06,-6.087124348e-06,-6.087124348e-06,1.703202724e-05,0,7.55059e-11,3.80694e-06,0.06610075384,-0.06088227034,0.08540333006,0.02959211445
83,1.660000,0.1137578636,0.02993227541,6.571412086e-06,-6.005167961e-06,-6.005167961e-06,1.681596041e-05,0,7.44426e-11,3.80067e-06,0.0657107085,-0.06007239223,0.1031974385,0.02956665209
84,1.680000,0.1356526166,0.03081142902,6.541609764e-06,-5.923211575e-06,-5.923211575e-06,1.662224531e-05,0,7.36518e-11,3.80444e-06,0.06538541615,-0.05925770849,0.1244278268,0.02973420837
85,1.700000,0.1604932249,0.03083645552,6.511807442e-06,-5.848705769e-06,-5.848705769e-06,1.64359808e-05,0,7.28206e-11,3.80384e-06,0.06512502581,-0.05850804597,0.1483801588,0.02955570094
86,1.720000,0.1852752194,0.03238298744,6.4894557e-06,-5.774199963e-06,-5.774199963e-06,1.625716686e-05,0,7.21588e-11,3.81068e-06,0.06486448646,-0.05775795877,0.1742699223,0.02956840298
87,1.740000,0.2119884789,0.03307438642,6.459653378e-06,-5.707144737e-06,-5.707144737e-06,1.608580351e-05,0,7.13372e-11,3.80699e-06,0.06460380554,-0.05707714707,0.2012768907,0.02893883431
88,1.760000,0.2395545319,0.03271316737,6.429851055e-06,-5.640089512e-06,-5.640089512e-06,1.592189074e-05,0,7.05648e-11,3.80462e-06,0.06427774578,-0.05639988929,0.2285807698,0.0287296501
89,1.780000,0.2664519027,0.03252881765,6.400048733e-06,-5.580484867e-06,-5.580484867e-06,1.576542854e-05,0,6.97577e-11,3.79786e-06,0.06401673704,-0.05578800291,0.2553964211,0.02896380561
90,1.800000,0.2909965366,0.03354744613,6.377696991e-06,-5.520880222e-06,-5.520880222e-06,1.561641693e-05,0,6.91167e-11,3.79854e-06,0.06375557929,-0.05517578125,0.28100708,0.02850735719
91,1.820000,0.3128933012,0.03372634947,6.355345249e-06,-5.461275578e-06,-5.461275578e-06,1.54748559e-05,0,6.85225e-11,3.80055e-06,0.06355961412,-0.05462917686,0.3047940812,0.02867302985
92,1.840000,0.3328707889,0.03377845138,6.332993507e-06,-5.409121513e-06,-5.409121513e-06,1.534074545e-05,0,6.78942e-11,3.79816e-06,0.06336357445,-0.05408234149,0.3262617657,0.02904742146
93,1.860000,0.3493339494,0.0341175124,6.310641766e-06,-5.356967449e-06,-5.356967449e-06,1.521408558e-05,0,6.73135e-11,3.7971e-06,0.06310205162,-0.0535390228,0.3450564676,0.02808421109
94,1.880000,0.3630520925,0.03479512036,6.280839443e-06,-5.304813385e-06,-5.304813385e-06,1.510232687e-05,0,6.67142e-11,3.79262e-06,0.06284038723,-0.05306521803,0.3609787502,0.02841795702
95,1.900000,0.3734438717,0.03560447693,6.258487701e-06,-5.260109901e-06,-5.260109901e-06,1.4975667e-05,0,6.60563e-11,3.78582e-06,0.06257857382,-0.05259114504,0.3739883716,0.02938958784
