k,t,angle,bias,p00,p01,p10,p11,sym_resid,det,lambda_min,k0,k1,true_angle,true_bias
0,0.000000,0.3397630565,-0.000210554339,0.0001000165939,-5.960464478e-08,-5.960464478e-08,0.2499995828,0,2.50041e-05,0.000100017,0.9998999937,-0.0006249547005,0.3321631364,0.02983353282
1,0.002500,0.3354942165,0.04072916508,5.036592484e-05,-0.0003101229668,-0.0003101229668,0.2480614185,0,1.23977e-05,4.99781e-05,0.5038438793,-3.100827917,0.3346784665,0.02966475445
2,0.005000,0.3368021064,0.06421973091,3.486871719e-05,-0.0006061792374,-0.0006061792374,0.2424231172,0,8.08553e-06,3.33528e-05,0.3483495144,-6.060970873,0.337143824,0.02957455864
3,0.007500,0.3426320925,-0.04411534313,2.825260162e-05,-0.0008696317673,-0.0008696317673,0.2318825722,0,5.79503e-06,2.49909e-05,0.2825994017,-8.695168883,0.3395580833,0.02962190391
4,0.010000,0.3483835049,-0.1859295769,2.539157867e-05,-0.001081347466,-0.001081347466,0.2162123322,0,4.32066e-06,1.99829e-05,0.2538906178,-10.81191641,0.3419201442,0.02936617664
5,0.012500,0.3447664566,0.1261868328,2.431869507e-05,-0.001227557659,-0.001227557659,0.1963054538,0,3.26699e-06,1.66418e-05,0.2431213353,-12.27379341,0.3442289326,0.02933658268
6,0.015000,0.3493529297,-0.01588799804,2.402067184e-05,-0.001305282116,-0.001305282116,0.1738798022,0,2.47295e-06,1.42214e-05,0.240380263,-13.05070168,0.3464834012,0.02947693825
7,0.017500,0.3533797078,-0.1163131408,2.402067184e-05,-0.001321732998,-0.001321732998,0.1508859396,0,1.8774e-06,1.24416e-05,0.240380263,-13.21502942,0.3486825305,0.02958644599
8,0.020000,0.3507651798,0.1549416054,2.39610672e-05,-0.001291751862,-0.001291751862,0.1289432645,0,1.421e-06,1.10192e-05,0.2396918898,-12.9152696,0.3508253296,0.02938074165
9,0.022500,0.3540273495,0.08381468803,2.378225327e-05,-0.00123000145,-0.00123000145,0.1090933681,0,1.08158e-06,9.91302e-06,0.237965486,-12.29791099,0.352910837,0.02949080333
10,0.025000,0.358486928,-0.05099198874,2.34246254e-05,-0.001150369644,-0.001150369644,0.09180897474,0,8.27241e-07,9.00904e-06,0.2344890507,-11.50182481,0.3549381213,0.02949727915
11,0.027500,0.3592733219,-0.003731912933,2.294778824e-05,-0.001063585281,-0.001063585281,0.07713460922,0,6.38855e-07,8.28077e-06,0.2292145155,-10.63435921,0.3569062817,0.02965238794
12,0.030000,0.3615867943,-0.01479251124,2.235174179e-05,-0.0009756088257,-0.0009756088257,0.06487929821,0,4.98353e-07,7.67949e-06,0.2235076353,-9.754280433,0.3588144492,0.02962911348
13,0.032500,0.3617918156,0.06302357744,2.163648605e-05,-0.000891327858,-0.000891327858,0.05473953485,0,3.89906e-07,7.12104e-06,0.2166199815,-8.911764711,0.3606617872,0.0297340549
14,0.035000,0.3616607375,0.1389403604,2.086162567e-05,-0.0008134245872,-0.0008134245872,0.04637742043,0,3.05849e-07,6.59275e-06,0.2088637436,-8.132956147,0.3624474918,0.02965400134
15,0.037500,0.3621298857,0.1814181544,2.014636993e-05,-0.0007422566414,-0.0007422566414,0.03948044777,0,2.44443e-07,6.1893e-06,0.2013326986,-7.421227992,0.3641707927,0.02968906775
16,0.040000,0.3646459207,0.1263074791,1.94311142e-05,-0.0006777644157,-0.0006777644157,0.03378146887,0,1.97047e-07,5.83064e-06,0.1940441886,-6.77665706,0.3658309542,0.02984853351
17,0.042500,0.3647421524,0.1632972565,1.871585846e-05,-0.0006196498871,-0.0006196498871,0.02905893326,0,1.59897e-07,5.5e-06,0.1870155036,-6.195736438,0.3674272751,0.02987917174
18,0.045000,0.3649915345,0.1854369696,1.800060272e-05,-0.0005674958229,-0.0005674958229,0.02513074875,0,1.30317e-07,5.18292e-06,0.1802638005,-5.674157307,0.3689590897,0.02998670007
19,0.047500,0.3645437807,0.2206827151,1.734495163e-05,-0.0005210042,-0.0005210042,0.02184718847,0,1.07493e-07,4.91743e-06,0.1733990144,-5.209359601,0.3704257685,0.0299960674
20,0.050000,0.3648789749,0.2355994675,1.674890518e-05,-0.0004793405533,-0.0004793405533,0.0190885663,0,8.99452e-08,4.70902e-06,0.1672456572,-4.792555824,0.3718267185,0.02999709336
21,0.052500,0.3661142029,0.2210245682,1.615285873e-05,-0.0004420280457,-0.0004420280457,0.01675915718,0,7.53195e-08,4.4911e-06,0.1614192901,-4.419290349,0.3731613836,0.030260753
22,0.055000,0.3705888353,0.1227086466,1.561641693e-05,-0.0004084706306,-0.0004084706306,0.01478278637,0,6.40059e-08,4.32645e-06,0.1559356134,-4.08400403,0.3744292454,0.03035790373
23,0.057500,0.3700579628,0.1649010619,1.507997513e-05,-0.0003782510757,-0.0003782510757,0.0130982399,0,5.44473e-08,4.15337e-06,0.1508097164,-3.781882584,0.3756298236,0.0304664687
24,0.060000,0.3726935796,0.1211265605,1.454353333e-05,-0.0003511309624,-0.0003511309624,0.01165544987,0,4.62185e-08,3.9618e-06,0.1456211815,-3.510692462,0.376762676,0.03064827074
