t,naive_lambda_min,joseph_lambda_min,naive_sym_resid,joseph_sym_resid,naive_p00,joseph_p00,naive_angle_err_deg,joseph_angle_err_deg
0.265,1.66124e-06,2.54184e-06,3.13856e-07,0,5.88875e-06,7.49063e-06,-0.0572104,-0.000249411
0.27,1.67498e-06,2.51962e-06,2.94298e-07,0,5.79841e-06,7.36956e-06,-0.0506594,-0.000242982
0.275,1.68798e-06,2.49763e-06,2.78465e-07,0,5.7118e-06,7.25221e-06,-0.0451918,-0.000219664
0.28,1.7009e-06,2.47729e-06,2.72878e-07,0,5.62891e-06,7.13952e-06,-0.0571571,-0.000312174
0.285,1.7139e-06,2.45781e-06,2.50526e-07,0,5.54975e-06,7.03055e-06,-0.0530524,-0.000288594
0.29,1.72595e-06,2.43821e-06,2.40281e-07,0,5.47338e-06,6.92438e-06,-0.0571819,-0.000256159
0.295,1.73747e-06,2.42041e-06,2.21655e-07,0,5.39888e-06,6.82287e-06,-0.057335,-0.000244025
0.3,1.74749e-06,2.40293e-06,2.16998e-07,0,5.32717e-06,6.72415e-06,-0.056454,-0.000221657
0.305,1.75791e-06,2.38664e-06,2.05822e-07,0,5.25825e-06,6.62915e-06,-0.0624391,-0.000178527
0.31,1.76842e-06,2.37275e-06,1.92784e-07,0,5.19119e-06,6.53882e-06,-0.04421,-0.000175088
0.315,1.77877e-06,2.35831e-06,1.75089e-07,0,5.12693e-06,6.45034e-06,-0.0336353,-9.00675e-05
0.32,1.788e-06,2.34466e-06,1.75089e-07,0,5.06546e-06,6.36466e-06,-0.0213448,-0.000116832
0.325,1.79728e-06,2.33168e-06,1.75089e-07,0,5.00586e-06,6.28177e-06,-0.0105798,-2.13616e-05
0.33,1.80653e-06,2.31987e-06,1.7602e-07,0,4.94812e-06,6.20168e-06,-0.00920507,-1.9314e-05
0.335,1.81551e-06,2.30781e-06,1.75089e-07,0,4.89317e-06,6.12345e-06,-0.00524032,-2.8028e-05
0.34,1.82571e-06,2.29765e-06,1.56462e-07,0,4.84008e-06,6.04894e-06,-0.0213669,3.19113e-05
0.345,1.83427e-06,2.28699e-06,1.4063e-07,0,4.787e-06,5.97537e-06,-0.00936417,-1.983e-05
0.35,1.84336e-06,2.27632e-06,1.27591e-07,0,4.73671e-06,5.90365e-06,0.000272303,-4.42336e-05
0.355,1.85115e-06,2.26694e-06,1.18278e-07,0,4.68735e-06,5.83474e-06,-0.00104541,-3.7955e-05
0.36,1.85893e-06,2.25576e-06,1.13621e-07,0,4.63985e-06,5.76582e-06,0.0015283,-1.51136e-05
0.365,1.86547e-06,2.24687e-06,1.1269e-07,0,4.59328e-06,5.70063e-06,0.00887631,8.79892e-05
0.37,1.87396e-06,2.23932e-06,9.68575e-08,0,4.54951e-06,5.63823e-06,0.00445667,8.36413e-05
0.375,1.88034e-06,2.23128e-06,9.03383e-08,0,4.50481e-06,5.57676e-06,0.0154588,0.000196722
0.38,1.88743e-06,2.22328e-06,8.84756e-08,0,4.4629e-06,5.51622e-06,0.0164871,0.00017984
0.385,1.8931e-06,2.2154e-06,9.22009e-08,0,4.42192e-06,5.45755e-06,0.0110741,0.000212815
0.39,1.89967e-06,2.20818e-06,8.3819e-08,0,4.3828e-06,5.40074e-06,0.0231872,0.000277061
0.395,1.90398e-06,2.20173e-06,8.47504e-08,0,4.34276e-06,5.34579e-06,0.0377751,0.000259473
0.4,1.90908e-06,2.1937e-06,7.35745e-08,0,4.30457e-06,5.29084e-06,0.0474578,0.000181171
0.405,1.9139e-06,2.18803e-06,7.17118e-08,0,4.26732e-06,5.23869e-06,0.0582062,6.88746e-05
0.41,1.9207e-06,2.18184e-06,5.96046e-08,0,4.23286e-06,5.18747e-06,0.055155,2.06667e-05
0.415,1.92613e-06,2.1755e-06,5.68107e-08,0,4.1984e-06,5.13718e-06,0.0570221,4.3135e-05
0.42,1.92881e-06,2.17e-06,6.33299e-08,0,4.16301e-06,5.08875e-06,0.0520979,-3.20382e-05
0.425,1.93239e-06,2.16457e-06,5.96046e-08,0,4.12948e-06,5.04125e-06,0.0400718,8.55195e-05
0.43,1.93674e-06,2.16e-06,4.93601e-08,0,4.09689e-06,4.99561e-06,0.0447886,2.97097e-05
0.435,1.93942e-06,2.15612e-06,4.84288e-08,0,4.06429e-06,4.95184e-06,0.0400138,3.28383e-05
0.44,1.94326e-06,2.1515e-06,3.91155e-08,0,4.03356e-06,4.90807e-06,0.0387539,1.28435e-05
0.445,1.94635e-06,2.14605e-06,4.00469e-08,0,4.00376e-06,4.8643e-06,0.0412251,2.15889e-05
0.45,1.95024e-06,2.14145e-06,3.53903e-08,0,3.97488e-06,4.82239e-06,0.0446637,-3.49364e-05
0.455,1.95325e-06,2.13696e-06,4.09782e-08,0,3.94695e-06,4.78141e-06,0.0464186,-5.20636e-05
0.46,1.95677e-06,2.13279e-06,4.00469e-08,0,3.91994e-06,4.74136e-06,0.0482337,-4.56794e-05
0.465,1.96079e-06,2.12883e-06,3.07336e-08,0,3.89386e-06,4.70225e-06,0.047648,-5.29421e-05
0.47,1.96308e-06,2.12403e-06,3.25963e-08,0,3.86778e-06,4.66313e-06,0.0445837,-7.78409e-05
0.475,1.96686e-06,2.12133e-06,2.8871e-08,0,3.84357e-06,4.62681e-06,0.0521476,6.72371e-05
0.48,1.97168e-06,2.11794e-06,1.95578e-08,0,3.82029e-06,4.59049e-06,0.0518976,5.73086e-05
0.485,1.97458e-06,2.11585e-06,2.14204e-08,0,3.797e-06,4.55603e-06,0.044461,0.000113011
0.49,1.97669e-06,2.11231e-06,1.95578e-08,0,3.77279e-06,4.52064e-06,0.040791,6.66615e-05
0.495,1.98047e-06,2.10958e-06,1.30385e-08,0,3.75044e-06,4.48711e-06,0.0459485,3.76377e-05
0.5,1.9824e-06,2.10733e-06,1.67638e-08,0,3.72808e-06,4.45452e-06,0.0492503,8.82647e-05
0.505,1.98413e-06,2.10495e-06,1.58325e-08,0,3.70573e-06,4.42192e-06,0.0485514,6.86084e-05
0.51,1.98769e-06,2.10164e-06,1.11759e-08,0,3.68524e-06,4.38932e-06,0.0534406,4.28058e-05
