experiment,workload,split,unit,alpha,target_coverage,empirical_coverage,coverage_std,mean_set_size,empty_rate,singleton_rate,error_rate,escalation_rate,accept_rate,union_bound,slack,mean_cost,n_cal,n_test,n_splits
cascade,easy,front-loaded,tier1:mid,0.03,0.97,0.97345,,,,,0.02145,0.45969,0.26505,,,,12000,20000,1
cascade,easy,front-loaded,tier2:large,0.015,0.985,0.9867,,,,,0.00265,0.0,0.2255,,,,12000,20000,1
cascade,easy,front-loaded,end-to-end,0.175,0.825,0.95945,,1.0283,,,,,,0.175,0.13445,1.5792,12000,20000,1
cascade,easy,front-loaded,tier0:small,0.1225,0.8775,0.878,,,,,0.0745,0.4535,0.5465,,,,12000,20000,1
cascade,easy,front-loaded,tier1:mid,0.035,0.965,0.9681,,,,,0.02145,0.42128,0.26245,,,,12000,20000,1
cascade,easy,front-loaded,tier2:large,0.0175,0.9825,0.9833,,,,,0.00265,0.0,0.19105,,,,12000,20000,1
cascade,easy,front-loaded,end-to-end,0.2,0.8,0.95695,,1.0236,,,,,,0.2,0.15695,1.4813,12000,20000,1
cascade,easy,front-loaded,tier0:small,0.14,0.86,0.8621,,,,,0.0745,0.42505,0.57495,,,,12000,20000,1
cascade,easy,front-loaded,tier1:mid,0.04,0.96,0.9644,,,,,0.02145,0.39525,0.25705,,,,12000,20000,1
cascade,easy,front-loaded,tier2:large,0.02,0.98,0.98055,,,,,0.00265,0.0,0.168,,,,12000,20000,1
shift,"cal=easy,test=hard",-,small,0.01,0.99,0.93925,,7.2123,0.0,0.0,0.5463,,,,,,12000,20000,1
shift,"cal=easy,test=hard",-,small,0.02,0.98,0.87195,,6.3627,0.0,0.00025,0.5463,,,,,,12000,20000,1
shift,"cal=easy,test=hard",-,small,0.05,0.95,0.6347,,3.3371,0.0,0.0122,0.5463,,,,,,12000,20000,1
shift,"cal=easy,test=hard",-,small,0.075,0.925,0.51715,,1.8458,0.0111,0.2226,0.5463,,,,,,12000,20000,1
shift,"cal=easy,test=hard",-,small,0.1,0.9,0.483,,1.5759,0.0489,0.35145,0.5463,,,,,,12000,20000,1
shift,"cal=easy,test=hard",-,small,0.125,0.875,0.45765,,1.4211,0.08535,0.4177,0.5463,,,,,,12000,20000,1
shift,"cal=easy,test=hard",-,small,0.15,0.85,0.4364,,1.2957,0.1236,0.46065,0.5463,,,,,,12000,20000,1
shift,"cal=easy,test=hard",-,small,0.175,0.825,0.41425,,1.1849,0.1647,0.4866,0.5463,,,,,,12000,20000,1
shift,"cal=easy,test=hard",-,small,0.2,0.8,0.3911,,1.087,0.207,0.49945,0.5463,,,,,,12000,20000,1
shift,"cal=easy,test=hard",-,mid,0.01,0.99,0.89305,,5.3957,0.0,0.0042,0.30055,,,,,,12000,20000,1
shift,"cal=easy,test=hard",-,mid,0.02,0.98,0.77125,,2.6221,0.0,0.0479,0.30055,,,,,,12000,20000,1
shift,"cal=easy,test=hard",-,mid,0.05,0.95,0.6849,,1.4757,0.0652,0.4085,0.30055,,,,,,12000,20000,1
shift,"cal=easy,test=hard",-,mid,0.075,0.925,0.6403,,1.2663,0.127,0.4826,0.30055,,,,,,12000,20000,1
shift,"cal=easy,test=hard",-,mid,0.1,0.9,0.5999,,1.1178,0.184,0.51495,0.30055,,,,,,12000,20000,1
shift,"cal=easy,test=hard",-,mid,0.125,0.875,0.56165,,1.0022,0.23715,0.5235,0.30055,,,,,,12000,20000,1
shift,"cal=easy,test=hard",-,mid,0.15,0.85,0.5243,,0.898,0.2916,0.5188,0.30055,,,,,,12000,20000,1
shift,"cal=easy,test=hard",-,mid,0.175,0.825,0.48545,,0.7983,0.34745,0.50685,0.30055,,,,,,12000,20000,1
shift,"cal=easy,test=hard",-,mid,0.2,0.8,0.45225,,0.7211,0.39485,0.4892,0.30055,,,,,,12000,20000,1
shift,"cal=easy,test=hard",-,large,0.01,0.99,0.926,,1.4121,0.02425,0.5571,0.05875,,,,,,12000,20000,1
shift,"cal=easy,test=hard",-,large,0.02,0.98,0.8991,,1.265,0.054,0.63165,0.05875,,,,,,12000,20000,1
shift,"cal=easy,test=hard",-,large,0.05,0.95,0.8209,,1.0248,0.14015,0.6949,0.05875,,,,,,12000,20000,1
shift,"cal=easy,test=hard",-,large,0.075,0.925,0.74945,,0.8777,0.2171,0.68815,0.05875,,,,,,12000,20000,1
shift,"cal=easy,test=hard",-,large,0.1,0.9,0.6904,,0.7748,0.28125,0.66275,0.05875,,,,,,12000,20000,1
shift,"cal=easy,test=hard",-,large,0.125,0.875,0.63815,,0.6935,0.33825,0.62995,0.05875,,,,,,12000,20000,1
shift,"cal=easy,test=hard",-,large,0.15,0.85,0.5789,,0.6138,0.40185,0.58255,0.05875,,,,,,12000,20000,1
shift,"cal=easy,test=hard",-,large,0.175,0.825,0.53315,,0.5567,0.4509,0.5415,0.05875,,,,,,12000,20000,1
shift,"cal=easy,test=hard",-,large,0.2,0.8,0.48605,,0.5016,0.501,0.49645,0.05875,,,,,,12000,20000,1
