experiment,workload,split,unit,alpha,target_coverage,empirical_coverage,coverage_std,mean_set_size,empty_rate,singleton_rate,error_rate,escalation_rate,accept_rate,union_bound,slack,mean_cost,n_cal,n_test,n_splits
marginal,nominal,-,large,0.01,0.99,0.9904,0.00121,3.6581,0.0,0.20081,0.022,,,,,,4000,36000,20
conditional,nominal,-,large|difficulty-easy,0.01,0.99,0.99914,0.00017,,,,0.022,,,,,,4000,12000,20
conditional,nominal,-,large|difficulty-medium,0.01,0.99,0.9941,0.00094,,,,0.022,,,,,,4000,12000,20
conditional,nominal,-,large|difficulty-hard,0.01,0.99,0.97798,0.00259,,,,0.022,,,,,,4000,12000,20
marginal,nominal,-,large,0.02,0.98,0.98039,0.00207,1.6,0.00107,0.52177,0.022,,,,,,4000,36000,20
conditional,nominal,-,large|difficulty-easy,0.02,0.98,0.99743,0.00083,,,,0.022,,,,,,4000,12000,20
conditional,nominal,-,large|difficulty-medium,0.02,0.98,0.98868,0.00131,,,,0.022,,,,,,4000,12000,20
conditional,nominal,-,large|difficulty-hard,0.02,0.98,0.95505,0.0041,,,,0.022,,,,,,4000,12000,20
marginal,nominal,-,large,0.05,0.95,0.95094,0.00438,1.1723,0.03061,0.76867,0.022,,,,,,4000,36000,20
conditional,nominal,-,large|difficulty-easy,0.05,0.95,0.98172,0.00273,,,,0.022,,,,,,4000,12000,20
conditional,nominal,-,large|difficulty-medium,0.05,0.95,0.96535,0.00365,,,,0.022,,,,,,4000,12000,20
conditional,nominal,-,large|difficulty-hard,0.05,0.95,0.90572,0.00681,,,,0.022,,,,,,4000,12000,20
marginal,nominal,-,large,0.075,0.925,0.92514,0.0058,1.0817,0.05757,0.80357,0.022,,,,,,4000,36000,20
conditional,nominal,-,large|difficulty-easy,0.075,0.925,0.96685,0.00309,,,,0.022,,,,,,4000,12000,20
conditional,nominal,-,large|difficulty-medium,0.075,0.925,0.94354,0.00523,,,,0.022,,,,,,4000,12000,20
conditional,nominal,-,large|difficulty-hard,0.075,0.925,0.86507,0.00922,,,,0.022,,,,,,4000,12000,20
marginal,nominal,-,large,0.1,0.9,0.8989,0.00435,1.0136,0.08495,0.81656,0.022,,,,,,4000,36000,20
conditional,nominal,-,large|difficulty-easy,0.1,0.9,0.95158,0.00248,,,,0.022,,,,,,4000,12000,20
conditional,nominal,-,large|difficulty-medium,0.1,0.9,0.91915,0.00383,,,,0.022,,,,,,4000,12000,20
conditional,nominal,-,large|difficulty-hard,0.1,0.9,0.82604,0.00688,,,,0.022,,,,,,4000,12000,20
marginal,nominal,-,large,0.125,0.875,0.87553,0.00527,0.9628,0.10963,0.81797,0.022,,,,,,4000,36000,20
conditional,nominal,-,large|difficulty-easy,0.125,0.875,0.9377,0.00312,,,,0.022,,,,,,4000,12000,20
conditional,nominal,-,large|difficulty-medium,0.125,0.875,0.89899,0.00474,,,,0.022,,,,,,4000,12000,20
conditional,nominal,-,large|difficulty-hard,0.125,0.875,0.78979,0.008,,,,0.022,,,,,,4000,12000,20
marginal,nominal,-,large,0.15,0.85,0.84898,0.0062,0.9135,0.13715,0.81225,0.022,,,,,,4000,36000,20
conditional,nominal,-,large|difficulty-easy,0.15,0.85,0.92253,0.00407,,,,0.022,,,,,,4000,12000,20
conditional,nominal,-,large|difficulty-medium,0.15,0.85,0.87546,0.00541,,,,0.022,,,,,,4000,12000,20
conditional,nominal,-,large|difficulty-hard,0.15,0.85,0.74899,0.00925,,,,0.022,,,,,,4000,12000,20
marginal,nominal,-,large,0.175,0.825,0.82385,0.00711,0.8732,0.16318,0.80041,0.022,,,,,,4000,36000,20
conditional,nominal,-,large|difficulty-easy,0.175,0.825,0.90669,0.00465,,,,0.022,,,,,,4000,12000,20
conditional,nominal,-,large|difficulty-medium,0.175,0.825,0.85402,0.00598,,,,0.022,,,,,,4000,12000,20
conditional,nominal,-,large|difficulty-hard,0.175,0.825,0.71099,0.01074,,,,0.022,,,,,,4000,12000,20
marginal,nominal,-,large,0.2,0.8,0.8019,0.0065,0.8403,0.18595,0.78778,0.022,,,,,,4000,36000,20
conditional,nominal,-,large|difficulty-easy,0.2,0.8,0.89286,0.00404,,,,0.022,,,,,,4000,12000,20
conditional,nominal,-,large|difficulty-medium,0.2,0.8,0.83574,0.00581,,,,0.022,,,,,,4000,12000,20
conditional,nominal,-,large|difficulty-hard,0.2,0.8,0.67716,0.0097,,,,0.022,,,,,,4000,12000,20
cascade,nominal,equal,end-to-end,0.01,0.99,0.99725,,5.7974,,,,,,0.01,0.00725,4.4499,12000,20000,1
cascade,nominal,equal,tier0:small,0.00333,0.99667,0.99765,,,,,0.29785,0.9999,0.0001,,,,12000,20000,1
cascade,nominal,equal,tier1:mid,0.00333,0.99667,0.9967,,,,,0.13285,0.99615,0.00385,,,,12000,20000,1
cascade,nominal,equal,tier2:large,0.00333,0.99667,0.99725,,,,,0.0204,0.0,0.99605,,,,12000,20000,1
cascade,nominal,equal,end-to-end,0.02,0.98,0.99385,,4.7172,,,,,,0.02,0.01385,4.4448,12000,20000,1
cascade,nominal,equal,tier0:small,0.00667,0.99333,0.99545,,,,,0.29785,0.99985,0.00015,,,,12000,20000,1
cascade,nominal,equal,tier1:mid,0.00667,0.99333,0.9927,,,,,0.13285,0.9944,0.0056,,,,12000,20000,1
cascade,nominal,equal,tier2:large,0.00667,0.99333,0.99385,,,,,0.0204,0.0,0.99425,,,,12000,20000,1
cascade,nominal,equal,end-to-end,0.05,0.95,0.98435,,1.9949,,,,,,0.05,0.03435,4.4335,12000,20000,1
cascade,nominal,equal,tier0:small,0.01667,0.98333,0.9862,,,,,0.29785,0.99975,0.00025,,,,12000,20000,1
cascade,nominal,equal,tier1:mid,0.01667,0.98333,0.9838,,,,,0.13285,0.99055,0.00945,,,,12000,20000,1
cascade,nominal,equal,tier2:large,0.01667,0.98333,0.98435,,,,,0.0204,0.0,0.9903,,,,12000,20000,1
cascade,nominal,equal,end-to-end,0.075,0.925,0.97675,,1.3707,,,,,,0.075,0.05175,4.4212,12000,20000,1
cascade,nominal,equal,tier0:small,0.025,0.975,0.97825,,,,,0.29785,0.99975,0.00025,,,,12000,20000,1
cascade,nominal,equal,tier1:mid,0.025,0.975,0.97335,,,,,0.13285,0.986,0.014,,,,12000,20000,1
cascade,nominal,equal,tier2:large,0.025,0.975,0.9768,,,,,0.0204,0.0,0.98575,,,,12000,20000,1
cascade,nominal,equal,end-to-end,0.1,0.9,0.96885,,1.2726,,,,,,0.1,0.06885,4.411,12000,20000,1
cascade,nominal,equal,tier0:small,0.03333,0.96667,0.96995,,,,,0.29785,0.9996,0.0004,,,,12000,20000,1
cascade,nominal,equal,tier1:mid,0.03333,0.96667,0.9656,,,,,0.13285,0.98259,0.0174,,,,12000,20000,1
cascade,nominal,equal,tier2:large,0.03333,0.96667,0.96895,,,,,0.0204,0.0,0.9822,,,,12000,20000,1
cascade,nominal,equal,end-to-end,0.125,0.875,0.96065,,1.2167,,,,,,0.125,0.08565,4.3996,12000,20000,1
cascade,nominal,equal,tier0:small,0.04167,0.95833,0.9622,,,,,0.29785,0.99935,0.00065,,,,12000,20000,1
cascade,nominal,equal,tier1:mid,0.04167,0.95833,0.95685,,,,,0.13285,0.97899,0.021,,,,12000,20000,1
cascade,nominal,equal,tier2:large,0.04167,0.95833,0.9607,,,,,0.0204,0.0,0.97835,,,,12000,20000,1
cascade,nominal,equal,end-to-end,0.15,0.85,0.9524,,1.1735,,,,,,0.15,0.1024,4.3847,12000,20000,1
cascade,nominal,equal,tier0:small,0.05,0.95,0.95215,,,,,0.29785,0.99925,0.00075,,,,12000,20000,1
cascade,nominal,equal,tier1:mid,0.05,0.95,0.9481,,,,,0.13285,0.97403,0.02595,,,,12000,20000,1
cascade,nominal,equal,tier2:large,0.05,0.95,0.95215,,,,,0.0204,0.0,0.9733,,,,12000,20000,1
cascade,nominal,equal,end-to-end,0.175,0.825,0.94285,,1.1317,,,,,,0.175,0.11785,4.3674,12000,20000,1
cascade,nominal,equal,tier0:small,0.05833,0.94167,0.9422,,,,,0.29785,0.999,0.001,,,,12000,20000,1
