regime,cond_target,method,ridge_ratio,rank,params_dense,params_factored,compression_ratio,rel_error_calib_mean,rel_error_calib_std,rel_error_holdout_mean,rel_error_shift50_mean,rel_error_shift100_mean,rel_weight_error_mean,cond_m_mean,n_seeds
isotropic,1.0,plain SVD,,32,65536,16384,4.0,0.744682,0.001754,0.74618,0.746421,0.746782,0.746137,,5
isotropic,1.0,plain SVD,,48,65536,24576,2.6667,0.642404,0.001494,0.643266,0.644112,0.645348,0.643833,,5
isotropic,1.0,plain SVD,,64,65536,32768,2.0,0.554353,0.001198,0.554749,0.553239,0.555619,0.554984,,5
isotropic,1.0,plain SVD,,96,65536,49152,1.3333,0.409691,0.001195,0.409832,0.40948,0.411005,0.41044,,5
isotropic,1.0,plain SVD,,112,65536,57344,1.1429,0.351469,0.00187,0.351225,0.350981,0.352222,0.351705,,5
isotropic,1.0,whitened SVD,1e-06,8,65536,4096,16.0,0.910537,0.000691,0.940257,0.940639,0.940397,0.940339,3.0903e+01,5
isotropic,1.0,whitened SVD,1e-06,16,65536,8192,8.0,0.832941,0.000771,0.883669,0.883652,0.884247,0.883732,3.0903e+01,5
isotropic,1.0,whitened SVD,1e-06,32,65536,16384,4.0,0.699612,0.000798,0.779164,0.778555,0.780642,0.779252,3.0903e+01,5
isotropic,1.0,whitened SVD,1e-06,48,65536,24576,2.6667,0.58895,0.001072,0.684702,0.685694,0.686806,0.685431,3.0903e+01,5
isotropic,1.0,whitened SVD,1e-06,64,65536,32768,2.0,0.495819,0.001271,0.602719,0.602764,0.60429,0.603284,3.0903e+01,5
isotropic,1.0,whitened SVD,1e-06,96,65536,49152,1.3333,0.349593,0.000898,0.463011,0.464305,0.464794,0.464305,3.0903e+01,5
isotropic,1.0,whitened SVD,1e-06,112,65536,57344,1.1429,0.292312,0.000942,0.405796,0.406779,0.407603,0.406923,3.0903e+01,5
isotropic,1.0,whitened SVD,0.0001,8,65536,4096,16.0,0.910537,0.000691,0.940256,0.940638,0.940396,0.940338,3.0903e+01,5
isotropic,1.0,whitened SVD,0.0001,16,65536,8192,8.0,0.832941,0.000771,0.883666,0.88365,0.884245,0.88373,3.0903e+01,5
isotropic,1.0,whitened SVD,0.0001,32,65536,16384,4.0,0.699612,0.000798,0.77916,0.778551,0.780638,0.779248,3.0903e+01,5
isotropic,1.0,whitened SVD,0.0001,48,65536,24576,2.6667,0.58895,0.001072,0.684696,0.685688,0.686801,0.685425,3.0903e+01,5
isotropic,1.0,whitened SVD,0.0001,64,65536,32768,2.0,0.495819,0.001271,0.602711,0.602756,0.604281,0.603276,3.0903e+01,5
isotropic,1.0,whitened SVD,0.0001,96,65536,49152,1.3333,0.349593,0.000898,0.463,0.464294,0.464783,0.464294,3.0903e+01,5
isotropic,1.0,whitened SVD,0.0001,112,65536,57344,1.1429,0.292312,0.000942,0.405784,0.406766,0.407591,0.406911,3.0903e+01,5
isotropic,1.0,whitened SVD,0.01,8,65536,4096,16.0,0.910537,0.000691,0.94016,0.940544,0.940308,0.940245,3.0903e+01,5
isotropic,1.0,whitened SVD,0.01,16,65536,8192,8.0,0.832943,0.000771,0.883449,0.883443,0.884032,0.883521,3.0903e+01,5
isotropic,1.0,whitened SVD,0.01,32,65536,16384,4.0,0.699615,0.000799,0.778761,0.778139,0.780238,0.77883,3.0903e+01,5
isotropic,1.0,whitened SVD,0.01,48,65536,24576,2.6667,0.588953,0.001072,0.684097,0.685099,0.686215,0.684823,3.0903e+01,5
isotropic,1.0,whitened SVD,0.01,64,65536,32768,2.0,0.495824,0.001271,0.601917,0.601947,0.603475,0.602481,3.0903e+01,5
isotropic,1.0,whitened SVD,0.01,96,65536,49152,1.3333,0.3496,0.000898,0.461931,0.463218,0.46371,0.463223,3.0903e+01,5
isotropic,1.0,whitened SVD,0.01,112,65536,57344,1.1429,0.292321,0.000943,0.404586,0.405562,0.40637,0.405704,3.0903e+01,5
isotropic,1.0,whitened SVD,1.0,8,65536,4096,16.0,0.913047,0.000752,0.933953,0.934649,0.934726,0.934438,3.0903e+01,5
isotropic,1.0,whitened SVD,1.0,16,65536,8192,8.0,0.837969,0.001159,0.87124,0.871843,0.872143,0.871719,3.0903e+01,5
isotropic,1.0,whitened SVD,1.0,32,65536,16384,4.0,0.708709,0.000813,0.757205,0.75727,0.758454,0.757172,3.0903e+01,5
isotropic,1.0,whitened SVD,1.0,48,65536,24576,2.6667,0.600702,0.00114,0.656077,0.657093,0.658553,0.656741,3.0903e+01,5
isotropic,1.0,whitened SVD,1.0,64,65536,32768,2.0,0.509819,0.001643,0.567946,0.56758,0.569516,0.568565,3.0903e+01,5
isotropic,1.0,whitened SVD,1.0,96,65536,49152,1.3333,0.365821,0.00106,0.422686,0.423094,0.424145,0.423624,3.0903e+01,5
isotropic,1.0,whitened SVD,1.0,112,65536,57344,1.1429,0.309255,0.001407,0.363486,0.363569,0.36489,0.364423,3.0903e+01,5
