scenario,anomaly_kind,method,fpr,tpr
unimodal,spike,batch full SVD (warm-up),0.0,0.166667
unimodal,spike,batch full SVD (warm-up),0.01,0.666667
unimodal,spike,batch full SVD (warm-up),0.02,0.741667
unimodal,spike,batch full SVD (warm-up),0.03,0.85
unimodal,spike,batch full SVD (warm-up),0.04,0.9
unimodal,spike,batch full SVD (warm-up),0.05,0.925
unimodal,spike,batch full SVD (warm-up),0.06,0.941667
unimodal,spike,batch full SVD (warm-up),0.07,0.966667
unimodal,spike,batch full SVD (warm-up),0.08,0.966667
unimodal,spike,batch full SVD (warm-up),0.09,0.966667
unimodal,spike,batch full SVD (warm-up),0.1,0.975
unimodal,spike,batch full SVD (warm-up),0.11,0.991667
unimodal,spike,batch full SVD (warm-up),0.12,0.991667
unimodal,spike,batch full SVD (warm-up),0.13,0.991667
unimodal,spike,batch full SVD (warm-up),0.14,0.991667
unimodal,spike,batch full SVD (warm-up),0.15,0.991667
unimodal,spike,batch full SVD (warm-up),0.16,0.991667
unimodal,spike,batch full SVD (warm-up),0.17,0.991667
unimodal,spike,batch full SVD (warm-up),0.18,1.0
unimodal,spike,batch full SVD (warm-up),0.19,1.0
unimodal,spike,batch full SVD (warm-up),0.2,1.0
unimodal,spike,batch full SVD (warm-up),0.21,1.0
unimodal,spike,batch full SVD (warm-up),0.22,1.0
unimodal,spike,batch full SVD (warm-up),0.23,1.0
unimodal,spike,batch full SVD (warm-up),0.24,1.0
unimodal,spike,batch full SVD (warm-up),0.25,1.0
unimodal,spike,batch full SVD (warm-up),0.26,1.0
unimodal,spike,batch full SVD (warm-up),0.27,1.0
unimodal,spike,batch full SVD (warm-up),0.28,1.0
unimodal,spike,batch full SVD (warm-up),0.29,1.0
unimodal,spike,batch full SVD (warm-up),0.3,1.0
unimodal,spike,batch full SVD (warm-up),0.31,1.0
unimodal,spike,batch full SVD (warm-up),0.32,1.0
unimodal,spike,batch full SVD (warm-up),0.33,1.0
unimodal,spike,batch full SVD (warm-up),0.34,1.0
unimodal,spike,batch full SVD (warm-up),0.35,1.0
unimodal,spike,batch full SVD (warm-up),0.36,1.0
unimodal,spike,batch full SVD (warm-up),0.37,1.0
unimodal,spike,batch full SVD (warm-up),0.38,1.0
unimodal,spike,batch full SVD (warm-up),0.39,1.0
unimodal,spike,batch full SVD (warm-up),0.4,1.0
unimodal,spike,batch full SVD (warm-up),0.41,1.0
unimodal,spike,batch full SVD (warm-up),0.42,1.0
unimodal,spike,batch full SVD (warm-up),0.43,1.0
unimodal,spike,batch full SVD (warm-up),0.44,1.0
unimodal,spike,batch full SVD (warm-up),0.45,1.0
unimodal,spike,batch full SVD (warm-up),0.46,1.0
unimodal,spike,batch full SVD (warm-up),0.47,1.0
unimodal,spike,batch full SVD (warm-up),0.48,1.0
unimodal,spike,batch full SVD (warm-up),0.49,1.0
unimodal,spike,batch full SVD (warm-up),0.5,1.0
unimodal,spike,batch full SVD (warm-up),0.51,1.0
unimodal,spike,batch full SVD (warm-up),0.52,1.0
unimodal,spike,batch full SVD (warm-up),0.53,1.0
unimodal,spike,batch full SVD (warm-up),0.54,1.0
unimodal,spike,batch full SVD (warm-up),0.55,1.0
unimodal,spike,batch full SVD (warm-up),0.56,1.0
unimodal,spike,batch full SVD (warm-up),0.57,1.0
unimodal,spike,batch full SVD (warm-up),0.58,1.0
unimodal,spike,batch full SVD (warm-up),0.59,1.0
unimodal,spike,batch full SVD (warm-up),0.6,1.0
unimodal,spike,batch full SVD (warm-up),0.61,1.0
unimodal,spike,batch full SVD (warm-up),0.62,1.0
unimodal,spike,batch full SVD (warm-up),0.63,1.0
unimodal,spike,batch full SVD (warm-up),0.64,1.0
unimodal,spike,batch full SVD (warm-up),0.65,1.0
unimodal,spike,batch full SVD (warm-up),0.66,1.0
unimodal,spike,batch full SVD (warm-up),0.67,1.0
unimodal,spike,batch full SVD (warm-up),0.68,1.0
unimodal,spike,batch full SVD (warm-up),0.69,1.0
unimodal,spike,batch full SVD (warm-up),0.7,1.0
unimodal,spike,batch full SVD (warm-up),0.71,1.0
unimodal,spike,batch full SVD (warm-up),0.72,1.0
unimodal,spike,batch full SVD (warm-up),0.73,1.0
unimodal,spike,batch full SVD (warm-up),0.74,1.0
unimodal,spike,batch full SVD (warm-up),0.75,1.0
unimodal,spike,batch full SVD (warm-up),0.76,1.0
unimodal,spike,batch full SVD (warm-up),0.77,1.0
unimodal,spike,batch full SVD (warm-up),0.78,1.0
unimodal,spike,batch full SVD (warm-up),0.79,1.0
unimodal,spike,batch full SVD (warm-up),0.8,1.0
unimodal,spike,batch full SVD (warm-up),0.81,1.0
unimodal,spike,batch full SVD (warm-up),0.82,1.0
unimodal,spike,batch full SVD (warm-up),0.83,1.0
unimodal,spike,batch full SVD (warm-up),0.84,1.0
unimodal,spike,batch full SVD (warm-up),0.85,1.0
unimodal,spike,batch full SVD (warm-up),0.86,1.0
unimodal,spike,batch full SVD (warm-up),0.87,1.0
unimodal,spike,batch full SVD (warm-up),0.88,1.0
unimodal,spike,batch full SVD (warm-up),0.89,1.0
unimodal,spike,batch full SVD (warm-up),0.9,1.0
unimodal,spike,batch full SVD (warm-up),0.91,1.0
unimodal,spike,batch full SVD (warm-up),0.92,1.0
unimodal,spike,batch full SVD (warm-up),0.93,1.0
unimodal,spike,batch full SVD (warm-up),0.94,1.0
unimodal,spike,batch full SVD (warm-up),0.95,1.0
unimodal,spike,batch full SVD (warm-up),0.96,1.0
unimodal,spike,batch full SVD (warm-up),0.97,1.0
unimodal,spike,batch full SVD (warm-up),0.98,1.0
unimodal,spike,batch full SVD (warm-up),0.99,1.0
unimodal,spike,batch full SVD (warm-up),1.0,1.0
unimodal,rotate,batch full SVD (warm-up),0.0,0.582
unimodal,rotate,batch full SVD (warm-up),0.01,0.782
unimodal,rotate,batch full SVD (warm-up),0.02,0.816
unimodal,rotate,batch full SVD (warm-up),0.03,0.838
unimodal,rotate,batch full SVD (warm-up),0.04,0.864
unimodal,rotate,batch full SVD (warm-up),0.05,0.876
unimodal,rotate,batch full SVD (warm-up),0.06,0.884
unimodal,rotate,batch full SVD (warm-up),0.07,0.896
unimodal,rotate,batch full SVD (warm-up),0.08,0.9
unimodal,rotate,batch full SVD (warm-up),0.09,0.904
unimodal,rotate,batch full SVD (warm-up),0.1,0.91
unimodal,rotate,batch full SVD (warm-up),0.11,0.916
unimodal,rotate,batch full SVD (warm-up),0.12,0.92
unimodal,rotate,batch full SVD (warm-up),0.13,0.922
unimodal,rotate,batch full SVD (warm-up),0.14,0.924
unimodal,rotate,batch full SVD (warm-up),0.15,0.93
unimodal,rotate,batch full SVD (warm-up),0.16,0.932
unimodal,rotate,batch full SVD (warm-up),0.17,0.934
unimodal,rotate,batch full SVD (warm-up),0.18,0.934
unimodal,rotate,batch full SVD (warm-up),0.19,0.936
unimodal,rotate,batch full SVD (warm-up),0.2,0.94
unimodal,rotate,batch full SVD (warm-up),0.21,0.94
unimodal,rotate,batch full SVD (warm-up),0.22,0.944
unimodal,rotate,batch full SVD (warm-up),0.23,0.946
unimodal,rotate,batch full SVD (warm-up),0.24,0.946
unimodal,rotate,batch full SVD (warm-up),0.25,0.948
unimodal,rotate,batch full SVD (warm-up),0.26,0.952
unimodal,rotate,batch full SVD (warm-up),0.27,0.954
unimodal,rotate,batch full SVD (warm-up),0.28,0.956
unimodal,rotate,batch full SVD (warm-up),0.29,0.956
unimodal,rotate,batch full SVD (warm-up),0.3,0.956
unimodal,rotate,batch full SVD (warm-up),0.31,0.958
unimodal,rotate,batch full SVD (warm-up),0.32,0.958
unimodal,rotate,batch full SVD (warm-up),0.33,0.96
unimodal,rotate,batch full SVD (warm-up),0.34,0.964
unimodal,rotate,batch full SVD (warm-up),0.35,0.964
unimodal,rotate,batch full SVD (warm-up),0.36,0.966
unimodal,rotate,batch full SVD (warm-up),0.37,0.968
unimodal,rotate,batch full SVD (warm-up),0.38,0.972
unimodal,rotate,batch full SVD (warm-up),0.39,0.972
unimodal,rotate,batch full SVD (warm-up),0.4,0.976
unimodal,rotate,batch full SVD (warm-up),0.41,0.978
unimodal,rotate,batch full SVD (warm-up),0.42,0.978
unimodal,rotate,batch full SVD (warm-up),0.43,0.978
unimodal,rotate,batch full SVD (warm-up),0.44,0.982
unimodal,rotate,batch full SVD (warm-up),0.45,0.982
unimodal,rotate,batch full SVD (warm-up),0.46,0.982
unimodal,rotate,batch full SVD (warm-up),0.47,0.986
unimodal,rotate,batch full SVD (warm-up),0.48,0.986
unimodal,rotate,batch full SVD (warm-up),0.49,0.988
unimodal,rotate,batch full SVD (warm-up),0.5,0.99
unimodal,rotate,batch full SVD (warm-up),0.51,0.99
unimodal,rotate,batch full SVD (warm-up),0.52,0.992
unimodal,rotate,batch full SVD (warm-up),0.53,0.992
unimodal,rotate,batch full SVD (warm-up),0.54,0.992
unimodal,rotate,batch full SVD (warm-up),0.55,0.992
unimodal,rotate,batch full SVD (warm-up),0.56,0.992
unimodal,rotate,batch full SVD (warm-up),0.57,0.992
unimodal,rotate,batch full SVD (warm-up),0.58,0.994
unimodal,rotate,batch full SVD (warm-up),0.59,0.994
unimodal,rotate,batch full SVD (warm-up),0.6,0.994
unimodal,rotate,batch full SVD (warm-up),0.61,0.996
unimodal,rotate,batch full SVD (warm-up),0.62,0.996
unimodal,rotate,batch full SVD (warm-up),0.63,0.996
unimodal,rotate,batch full SVD (warm-up),0.64,0.996
unimodal,rotate,batch full SVD (warm-up),0.65,0.996
unimodal,rotate,batch full SVD (warm-up),0.66,0.996
unimodal,rotate,batch full SVD (warm-up),0.67,0.996
unimodal,rotate,batch full SVD (warm-up),0.68,0.996
unimodal,rotate,batch full SVD (warm-up),0.69,0.996
unimodal,rotate,batch full SVD (warm-up),0.7,0.998
unimodal,rotate,batch full SVD (warm-up),0.71,0.998
unimodal,rotate,batch full SVD (warm-up),0.72,0.998
unimodal,rotate,batch full SVD (warm-up),0.73,0.998
unimodal,rotate,batch full SVD (warm-up),0.74,0.998
unimodal,rotate,batch full SVD (warm-up),0.75,0.998
unimodal,rotate,batch full SVD (warm-up),0.76,0.998
unimodal,rotate,batch full SVD (warm-up),0.77,0.998
unimodal,rotate,batch full SVD (warm-up),0.78,0.998
unimodal,rotate,batch full SVD (warm-up),0.79,0.998
unimodal,rotate,batch full SVD (warm-up),0.8,0.998
unimodal,rotate,batch full SVD (warm-up),0.81,0.998
unimodal,rotate,batch full SVD (warm-up),0.82,0.998
unimodal,rotate,batch full SVD (warm-up),0.83,0.998
unimodal,rotate,batch full SVD (warm-up),0.84,0.998
unimodal,rotate,batch full SVD (warm-up),0.85,0.998
unimodal,rotate,batch full SVD (warm-up),0.86,0.998
unimodal,rotate,batch full SVD (warm-up),0.87,0.998
unimodal,rotate,batch full SVD (warm-up),0.88,0.998
unimodal,rotate,batch full SVD (warm-up),0.89,0.998
unimodal,rotate,batch full SVD (warm-up),0.9,0.998
unimodal,rotate,batch full SVD (warm-up),0.91,1.0
unimodal,rotate,batch full SVD (warm-up),0.92,1.0
unimodal,rotate,batch full SVD (warm-up),0.93,1.0
unimodal,rotate,batch full SVD (warm-up),0.94,1.0
unimodal,rotate,batch full SVD (warm-up),0.95,1.0
unimodal,rotate,batch full SVD (warm-up),0.96,1.0
unimodal,rotate,batch full SVD (warm-up),0.97,1.0
unimodal,rotate,batch full SVD (warm-up),0.98,1.0
unimodal,rotate,batch full SVD (warm-up),0.99,1.0
unimodal,rotate,batch full SVD (warm-up),1.0,1.0
unimodal,spike,"batch full SVD (all-normal, uses labels)",0.0,0.166667
unimodal,spike,"batch full SVD (all-normal, uses labels)",0.01,0.658333
unimodal,spike,"batch full SVD (all-normal, uses labels)",0.02,0.741667
unimodal,spike,"batch full SVD (all-normal, uses labels)",0.03,0.85
unimodal,spike,"batch full SVD (all-normal, uses labels)",0.04,0.9
unimodal,spike,"batch full SVD (all-normal, uses labels)",0.05,0.925
unimodal,spike,"batch full SVD (all-normal, uses labels)",0.06,0.941667
unimodal,spike,"batch full SVD (all-normal, uses labels)",0.07,0.966667
unimodal,spike,"batch full SVD (all-normal, uses labels)",0.08,0.966667
unimodal,spike,"batch full SVD (all-normal, uses labels)",0.09,0.966667
unimodal,spike,"batch full SVD (all-normal, uses labels)",0.1,0.983333
unimodal,spike,"batch full SVD (all-normal, uses labels)",0.11,0.991667
unimodal,spike,"batch full SVD (all-normal, uses labels)",0.12,0.991667
unimodal,spike,"batch full SVD (all-normal, uses labels)",0.13,0.991667
unimodal,spike,"batch full SVD (all-normal, uses labels)",0.14,0.991667
unimodal,spike,"batch full SVD (all-normal, uses labels)",0.15,0.991667
unimodal,spike,"batch full SVD (all-normal, uses labels)",0.16,0.991667
unimodal,spike,"batch full SVD (all-normal, uses labels)",0.17,0.991667
unimodal,spike,"batch full SVD (all-normal, uses labels)",0.18,1.0
unimodal,spike,"batch full SVD (all-normal, uses labels)",0.19,1.0
unimodal,spike,"batch full SVD (all-normal, uses labels)",0.2,1.0
unimodal,spike,"batch full SVD (all-normal, uses labels)",0.21,1.0
unimodal,spike,"batch full SVD (all-normal, uses labels)",0.22,1.0
unimodal,spike,"batch full SVD (all-normal, uses labels)",0.23,1.0
unimodal,spike,"batch full SVD (all-normal, uses labels)",0.24,1.0
unimodal,spike,"batch full SVD (all-normal, uses labels)",0.25,1.0
unimodal,spike,"batch full SVD (all-normal, uses labels)",0.26,1.0
unimodal,spike,"batch full SVD (all-normal, uses labels)",0.27,1.0
unimodal,spike,"batch full SVD (all-normal, uses labels)",0.28,1.0
unimodal,spike,"batch full SVD (all-normal, uses labels)",0.29,1.0
unimodal,spike,"batch full SVD (all-normal, uses labels)",0.3,1.0
unimodal,spike,"batch full SVD (all-normal, uses labels)",0.31,1.0
unimodal,spike,"batch full SVD (all-normal, uses labels)",0.32,1.0
unimodal,spike,"batch full SVD (all-normal, uses labels)",0.33,1.0
unimodal,spike,"batch full SVD (all-normal, uses labels)",0.34,1.0
unimodal,spike,"batch full SVD (all-normal, uses labels)",0.35,1.0
unimodal,spike,"batch full SVD (all-normal, uses labels)",0.36,1.0
unimodal,spike,"batch full SVD (all-normal, uses labels)",0.37,1.0
unimodal,spike,"batch full SVD (all-normal, uses labels)",0.38,1.0
unimodal,spike,"batch full SVD (all-normal, uses labels)",0.39,1.0
unimodal,spike,"batch full SVD (all-normal, uses labels)",0.4,1.0
unimodal,spike,"batch full SVD (all-normal, uses labels)",0.41,1.0
unimodal,spike,"batch full SVD (all-normal, uses labels)",0.42,1.0
unimodal,spike,"batch full SVD (all-normal, uses labels)",0.43,1.0
unimodal,spike,"batch full SVD (all-normal, uses labels)",0.44,1.0
unimodal,spike,"batch full SVD (all-normal, uses labels)",0.45,1.0
unimodal,spike,"batch full SVD (all-normal, uses labels)",0.46,1.0
unimodal,spike,"batch full SVD (all-normal, uses labels)",0.47,1.0
unimodal,spike,"batch full SVD (all-normal, uses labels)",0.48,1.0
unimodal,spike,"batch full SVD (all-normal, uses labels)",0.49,1.0
unimodal,spike,"batch full SVD (all-normal, uses labels)",0.5,1.0
unimodal,spike,"batch full SVD (all-normal, uses labels)",0.51,1.0
unimodal,spike,"batch full SVD (all-normal, uses labels)",0.52,1.0
unimodal,spike,"batch full SVD (all-normal, uses labels)",0.53,1.0
unimodal,spike,"batch full SVD (all-normal, uses labels)",0.54,1.0
unimodal,spike,"batch full SVD (all-normal, uses labels)",0.55,1.0
unimodal,spike,"batch full SVD (all-normal, uses labels)",0.56,1.0
unimodal,spike,"batch full SVD (all-normal, uses labels)",0.57,1.0
unimodal,spike,"batch full SVD (all-normal, uses labels)",0.58,1.0
unimodal,spike,"batch full SVD (all-normal, uses labels)",0.59,1.0
unimodal,spike,"batch full SVD (all-normal, uses labels)",0.6,1.0
unimodal,spike,"batch full SVD (all-normal, uses labels)",0.61,1.0
unimodal,spike,"batch full SVD (all-normal, uses labels)",0.62,1.0
unimodal,spike,"batch full SVD (all-normal, uses labels)",0.63,1.0
unimodal,spike,"batch full SVD (all-normal, uses labels)",0.64,1.0
unimodal,spike,"batch full SVD (all-normal, uses labels)",0.65,1.0
unimodal,spike,"batch full SVD (all-normal, uses labels)",0.66,1.0
unimodal,spike,"batch full SVD (all-normal, uses labels)",0.67,1.0
unimodal,spike,"batch full SVD (all-normal, uses labels)",0.68,1.0
unimodal,spike,"batch full SVD (all-normal, uses labels)",0.69,1.0
unimodal,spike,"batch full SVD (all-normal, uses labels)",0.7,1.0
unimodal,spike,"batch full SVD (all-normal, uses labels)",0.71,1.0
unimodal,spike,"batch full SVD (all-normal, uses labels)",0.72,1.0
unimodal,spike,"batch full SVD (all-normal, uses labels)",0.73,1.0
unimodal,spike,"batch full SVD (all-normal, uses labels)",0.74,1.0
unimodal,spike,"batch full SVD (all-normal, uses labels)",0.75,1.0
unimodal,spike,"batch full SVD (all-normal, uses labels)",0.76,1.0
unimodal,spike,"batch full SVD (all-normal, uses labels)",0.77,1.0
unimodal,spike,"batch full SVD (all-normal, uses labels)",0.78,1.0
unimodal,spike,"batch full SVD (all-normal, uses labels)",0.79,1.0
unimodal,spike,"batch full SVD (all-normal, uses labels)",0.8,1.0
unimodal,spike,"batch full SVD (all-normal, uses labels)",0.81,1.0
unimodal,spike,"batch full SVD (all-normal, uses labels)",0.82,1.0
unimodal,spike,"batch full SVD (all-normal, uses labels)",0.83,1.0
unimodal,spike,"batch full SVD (all-normal, uses labels)",0.84,1.0
unimodal,spike,"batch full SVD (all-normal, uses labels)",0.85,1.0
unimodal,spike,"batch full SVD (all-normal, uses labels)",0.86,1.0
unimodal,spike,"batch full SVD (all-normal, uses labels)",0.87,1.0
unimodal,spike,"batch full SVD (all-normal, uses labels)",0.88,1.0
unimodal,spike,"batch full SVD (all-normal, uses labels)",0.89,1.0
unimodal,spike,"batch full SVD (all-normal, uses labels)",0.9,1.0
unimodal,spike,"batch full SVD (all-normal, uses labels)",0.91,1.0
unimodal,spike,"batch full SVD (all-normal, uses labels)",0.92,1.0
unimodal,spike,"batch full SVD (all-normal, uses labels)",0.93,1.0
unimodal,spike,"batch full SVD (all-normal, uses labels)",0.94,1.0
unimodal,spike,"batch full SVD (all-normal, uses labels)",0.95,1.0
unimodal,spike,"batch full SVD (all-normal, uses labels)",0.96,1.0
unimodal,spike,"batch full SVD (all-normal, uses labels)",0.97,1.0
unimodal,spike,"batch full SVD (all-normal, uses labels)",0.98,1.0
unimodal,spike,"batch full SVD (all-normal, uses labels)",0.99,1.0
unimodal,spike,"batch full SVD (all-normal, uses labels)",1.0,1.0
unimodal,rotate,"batch full SVD (all-normal, uses labels)",0.0,0.582
unimodal,rotate,"batch full SVD (all-normal, uses labels)",0.01,0.782
unimodal,rotate,"batch full SVD (all-normal, uses labels)",0.02,0.816
unimodal,rotate,"batch full SVD (all-normal, uses labels)",0.03,0.838
unimodal,rotate,"batch full SVD (all-normal, uses labels)",0.04,0.864
unimodal,rotate,"batch full SVD (all-normal, uses labels)",0.05,0.876
unimodal,rotate,"batch full SVD (all-normal, uses labels)",0.06,0.888
unimodal,rotate,"batch full SVD (all-normal, uses labels)",0.07,0.896
unimodal,rotate,"batch full SVD (all-normal, uses labels)",0.08,0.9
unimodal,rotate,"batch full SVD (all-normal, uses labels)",0.09,0.904
unimodal,rotate,"batch full SVD (all-normal, uses labels)",0.1,0.91
unimodal,rotate,"batch full SVD (all-normal, uses labels)",0.11,0.918
unimodal,rotate,"batch full SVD (all-normal, uses labels)",0.12,0.92
unimodal,rotate,"batch full SVD (all-normal, uses labels)",0.13,0.922
unimodal,rotate,"batch full SVD (all-normal, uses labels)",0.14,0.922
unimodal,rotate,"batch full SVD (all-normal, uses labels)",0.15,0.93
unimodal,rotate,"batch full SVD (all-normal, uses labels)",0.16,0.932
unimodal,rotate,"batch full SVD (all-normal, uses labels)",0.17,0.934
unimodal,rotate,"batch full SVD (all-normal, uses labels)",0.18,0.934
unimodal,rotate,"batch full SVD (all-normal, uses labels)",0.19,0.934
unimodal,rotate,"batch full SVD (all-normal, uses labels)",0.2,0.94
unimodal,rotate,"batch full SVD (all-normal, uses labels)",0.21,0.94
unimodal,rotate,"batch full SVD (all-normal, uses labels)",0.22,0.94
unimodal,rotate,"batch full SVD (all-normal, uses labels)",0.23,0.946
unimodal,rotate,"batch full SVD (all-normal, uses labels)",0.24,0.948
unimodal,rotate,"batch full SVD (all-normal, uses labels)",0.25,0.95
unimodal,rotate,"batch full SVD (all-normal, uses labels)",0.26,0.954
unimodal,rotate,"batch full SVD (all-normal, uses labels)",0.27,0.956
unimodal,rotate,"batch full SVD (all-normal, uses labels)",0.28,0.956
unimodal,rotate,"batch full SVD (all-normal, uses labels)",0.29,0.956
unimodal,rotate,"batch full SVD (all-normal, uses labels)",0.3,0.956
unimodal,rotate,"batch full SVD (all-normal, uses labels)",0.31,0.958
unimodal,rotate,"batch full SVD (all-normal, uses labels)",0.32,0.958
unimodal,rotate,"batch full SVD (all-normal, uses labels)",0.33,0.96
unimodal,rotate,"batch full SVD (all-normal, uses labels)",0.34,0.96
unimodal,rotate,"batch full SVD (all-normal, uses labels)",0.35,0.964
unimodal,rotate,"batch full SVD (all-normal, uses labels)",0.36,0.966
unimodal,rotate,"batch full SVD (all-normal, uses labels)",0.37,0.968
unimodal,rotate,"batch full SVD (all-normal, uses labels)",0.38,0.97
unimodal,rotate,"batch full SVD (all-normal, uses labels)",0.39,0.972
unimodal,rotate,"batch full SVD (all-normal, uses labels)",0.4,0.976
unimodal,rotate,"batch full SVD (all-normal, uses labels)",0.41,0.976
unimodal,rotate,"batch full SVD (all-normal, uses labels)",0.42,0.978
unimodal,rotate,"batch full SVD (all-normal, uses labels)",0.43,0.98
unimodal,rotate,"batch full SVD (all-normal, uses labels)",0.44,0.98
unimodal,rotate,"batch full SVD (all-normal, uses labels)",0.45,0.982
unimodal,rotate,"batch full SVD (all-normal, uses labels)",0.46,0.986
unimodal,rotate,"batch full SVD (all-normal, uses labels)",0.47,0.986
unimodal,rotate,"batch full SVD (all-normal, uses labels)",0.48,0.986
unimodal,rotate,"batch full SVD (all-normal, uses labels)",0.49,0.986
unimodal,rotate,"batch full SVD (all-normal, uses labels)",0.5,0.988
unimodal,rotate,"batch full SVD (all-normal, uses labels)",0.51,0.99
unimodal,rotate,"batch full SVD (all-normal, uses labels)",0.52,0.99
unimodal,rotate,"batch full SVD (all-normal, uses labels)",0.53,0.992
unimodal,rotate,"batch full SVD (all-normal, uses labels)",0.54,0.992
unimodal,rotate,"batch full SVD (all-normal, uses labels)",0.55,0.992
unimodal,rotate,"batch full SVD (all-normal, uses labels)",0.56,0.992
unimodal,rotate,"batch full SVD (all-normal, uses labels)",0.57,0.992
unimodal,rotate,"batch full SVD (all-normal, uses labels)",0.58,0.992
unimodal,rotate,"batch full SVD (all-normal, uses labels)",0.59,0.992
unimodal,rotate,"batch full SVD (all-normal, uses labels)",0.6,0.992
unimodal,rotate,"batch full SVD (all-normal, uses labels)",0.61,0.994
unimodal,rotate,"batch full SVD (all-normal, uses labels)",0.62,0.994
unimodal,rotate,"batch full SVD (all-normal, uses labels)",0.63,0.994
unimodal,rotate,"batch full SVD (all-normal, uses labels)",0.64,0.996
unimodal,rotate,"batch full SVD (all-normal, uses labels)",0.65,0.996
unimodal,rotate,"batch full SVD (all-normal, uses labels)",0.66,0.996
unimodal,rotate,"batch full SVD (all-normal, uses labels)",0.67,0.996
unimodal,rotate,"batch full SVD (all-normal, uses labels)",0.68,0.996
unimodal,rotate,"batch full SVD (all-normal, uses labels)",0.69,0.998
unimodal,rotate,"batch full SVD (all-normal, uses labels)",0.7,0.998
unimodal,rotate,"batch full SVD (all-normal, uses labels)",0.71,0.998
unimodal,rotate,"batch full SVD (all-normal, uses labels)",0.72,0.998
unimodal,rotate,"batch full SVD (all-normal, uses labels)",0.73,0.998
unimodal,rotate,"batch full SVD (all-normal, uses labels)",0.74,0.998
unimodal,rotate,"batch full SVD (all-normal, uses labels)",0.75,0.998
unimodal,rotate,"batch full SVD (all-normal, uses labels)",0.76,0.998
unimodal,rotate,"batch full SVD (all-normal, uses labels)",0.77,0.998
unimodal,rotate,"batch full SVD (all-normal, uses labels)",0.78,0.998
unimodal,rotate,"batch full SVD (all-normal, uses labels)",0.79,0.998
unimodal,rotate,"batch full SVD (all-normal, uses labels)",0.8,0.998
unimodal,rotate,"batch full SVD (all-normal, uses labels)",0.81,0.998
unimodal,rotate,"batch full SVD (all-normal, uses labels)",0.82,0.998
unimodal,rotate,"batch full SVD (all-normal, uses labels)",0.83,0.998
unimodal,rotate,"batch full SVD (all-normal, uses labels)",0.84,0.998
unimodal,rotate,"batch full SVD (all-normal, uses labels)",0.85,0.998
unimodal,rotate,"batch full SVD (all-normal, uses labels)",0.86,0.998
unimodal,rotate,"batch full SVD (all-normal, uses labels)",0.87,0.998
unimodal,rotate,"batch full SVD (all-normal, uses labels)",0.88,0.998
unimodal,rotate,"batch full SVD (all-normal, uses labels)",0.89,0.998
unimodal,rotate,"batch full SVD (all-normal, uses labels)",0.9,1.0
unimodal,rotate,"batch full SVD (all-normal, uses labels)",0.91,1.0
unimodal,rotate,"batch full SVD (all-normal, uses labels)",0.92,1.0
unimodal,rotate,"batch full SVD (all-normal, uses labels)",0.93,1.0
unimodal,rotate,"batch full SVD (all-normal, uses labels)",0.94,1.0
unimodal,rotate,"batch full SVD (all-normal, uses labels)",0.95,1.0
unimodal,rotate,"batch full SVD (all-normal, uses labels)",0.96,1.0
unimodal,rotate,"batch full SVD (all-normal, uses labels)",0.97,1.0
unimodal,rotate,"batch full SVD (all-normal, uses labels)",0.98,1.0
unimodal,rotate,"batch full SVD (all-normal, uses labels)",0.99,1.0
unimodal,rotate,"batch full SVD (all-normal, uses labels)",1.0,1.0
unimodal,spike,"incremental, reorth",0.0,0.166667
unimodal,spike,"incremental, reorth",0.01,0.633333
unimodal,spike,"incremental, reorth",0.02,0.741667
unimodal,spike,"incremental, reorth",0.03,0.85
unimodal,spike,"incremental, reorth",0.04,0.908333
unimodal,spike,"incremental, reorth",0.05,0.925
unimodal,spike,"incremental, reorth",0.06,0.941667
unimodal,spike,"incremental, reorth",0.07,0.966667
unimodal,spike,"incremental, reorth",0.08,0.966667
unimodal,spike,"incremental, reorth",0.09,0.966667
unimodal,spike,"incremental, reorth",0.1,0.975
unimodal,spike,"incremental, reorth",0.11,0.983333
unimodal,spike,"incremental, reorth",0.12,0.991667
unimodal,spike,"incremental, reorth",0.13,0.991667
unimodal,spike,"incremental, reorth",0.14,0.991667
unimodal,spike,"incremental, reorth",0.15,0.991667
unimodal,spike,"incremental, reorth",0.16,0.991667
unimodal,spike,"incremental, reorth",0.17,0.991667
unimodal,spike,"incremental, reorth",0.18,1.0
unimodal,spike,"incremental, reorth",0.19,1.0
unimodal,spike,"incremental, reorth",0.2,1.0
unimodal,spike,"incremental, reorth",0.21,1.0
unimodal,spike,"incremental, reorth",0.22,1.0
unimodal,spike,"incremental, reorth",0.23,1.0
unimodal,spike,"incremental, reorth",0.24,1.0
unimodal,spike,"incremental, reorth",0.25,1.0
unimodal,spike,"incremental, reorth",0.26,1.0
unimodal,spike,"incremental, reorth",0.27,1.0
unimodal,spike,"incremental, reorth",0.28,1.0
unimodal,spike,"incremental, reorth",0.29,1.0
unimodal,spike,"incremental, reorth",0.3,1.0
unimodal,spike,"incremental, reorth",0.31,1.0
unimodal,spike,"incremental, reorth",0.32,1.0
unimodal,spike,"incremental, reorth",0.33,1.0
unimodal,spike,"incremental, reorth",0.34,1.0
unimodal,spike,"incremental, reorth",0.35,1.0
unimodal,spike,"incremental, reorth",0.36,1.0
unimodal,spike,"incremental, reorth",0.37,1.0
unimodal,spike,"incremental, reorth",0.38,1.0
unimodal,spike,"incremental, reorth",0.39,1.0
